season,player_id,player_name,team,position_final,production_score,production_percentile_position,cap_number,cash_paid,draft_year,draft_round,draft_pick,draft_capital_bucket,years_since_drafted,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,surplus_percentile_position,player_surplus_rank,reg_snap_games,reg_offense_snaps,reg_avg_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,playoff_snap_games,playoff_offense_snaps,playoff_avg_offense_snap_pct,played_playoffs,injury_report_weeks,out_weeks,practice_dnp_weeks,limited_practice_weeks,was_on_injury_report,is_v5_default_candidate,is_wr_case_study_candidate
2025,00-0039391,Kimani Vidal,LAC,RB,41.599666600415354,0.3225806451612903,0.693333,0.693333,2024.0,6.0,181.0,rounds_6_7,1.0,rookie_contract,True,43.0,61.0,18.0,0.8629032258064516,9.0,13,481.0,0.5446153846153846,9,4,1.0,56.0,0.93,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0040734,TreVeyon Henderson,NE,RB,106.4633030216752,0.7903225806451613,2.026047,5.584188,2025.0,2.0,38.0,round_2,0.0,rookie_contract,True,14.0,31.0,17.0,0.8306451612903226,11.0,17,501.0,0.4588235294117647,6,3,4.0,83.0,0.31,1,2.0,0.0,0.0,0.0,1.0,1,0
2025,00-0038611,Chris Rodriguez Jr.,WAS,RB,48.14746537129395,0.4032258064516129,1.03,1.03,2023.0,6.0,193.0,rounds_6_7,2.0,rookie_contract,True,38.0,55.0,17.0,0.8306451612903226,11.0,13,255.0,0.3123076923076923,1,0,0.0,0.0,0.0,0,7.0,0.0,1.0,1.0,1.0,1,0
2025,00-0037248,James Cook,BUF,RB,160.09799770077868,0.9354838709677419,3.435375,10.28,2022.0,2.0,63.0,round_2,3.0,rookie_contract,True,5.0,20.0,15.0,0.7903225806451613,13.0,17,639.0,0.571764705882353,14,4,2.0,88.0,0.62,1,3.0,0.0,0.0,0.0,1.0,1,0
2025,00-0039738,Blake Corum,LA,RB,69.16041979973089,0.5806451612903226,1.309946,1.056989,2024.0,3.0,83.0,round_3,1.0,rookie_contract,True,27.0,41.0,14.0,0.7580645161290323,16.0,17,332.0,0.2911764705882353,0,0,3.0,80.0,0.3733333333333333,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0039139,Jahmyr Gibbs,DET,RB,180.2834518911758,0.9516129032258065,4.866856,2.372286,2023.0,1.0,12.0,round_1,2.0,rookie_contract,True,4.0,17.0,13.0,0.7338709677419355,17.0,17,737.0,0.67,17,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0039165,Zach Charbonnet,SEA,RB,84.2173228998953,0.6935483870967742,1.875294,1.375098,2023.0,2.0,52.0,round_2,2.0,rookie_contract,True,20.0,33.0,13.0,0.7338709677419355,17.0,16,489.0,0.48375,9,0,1.0,8.0,0.15,1,2.0,0.0,1.0,0.0,1.0,1,0
2025,00-0038542,Bijan Robinson,ATL,RB,181.98520651349455,0.967741935483871,5.988694,2.746232,2023.0,1.0,8.0,round_1,2.0,rookie_contract,True,3.0,14.0,11.0,0.6935483870967742,20.0,17,860.0,0.7817647058823529,17,12,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1,0
2025,00-0040583,Woody Marks,HOU,RB,44.60120295525152,0.3709677419354839,1.090942,1.843768,2025.0,4.0,116.0,rounds_4_5,0.0,rookie_contract,True,40.0,49.0,9.0,0.6774193548387096,21.0,16,571.0,0.515,8,2,2.0,99.0,0.6950000000000001,1,5.0,0.0,0.0,1.0,1.0,1,0
2025,00-0037263,Tyler Allgeier,ATL,RB,49.22810069334861,0.43548387096774194,1.183472,1.1,2022.0,5.0,151.0,rounds_4_5,3.0,rookie_contract,True,36.0,43.0,7.0,0.6290322580645161,23.0,17,328.0,0.3023529411764706,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0039793,AJ Barner,SEA,TE,95.82583467247532,0.7692307692307693,1.148777,0.96,2024.0,4.0,121.0,rounds_4_5,1.0,rookie_contract,True,10.0,36.0,26.0,1.0,1.0,17,827.0,0.7729411764705882,16,13,3.0,171.0,0.8833333333333333,1,6.0,0.0,0.0,0.0,1.0,1,0
2025,00-0040189,Oronde Gadsden II,LAC,TE,70.96505532409869,0.5384615384615384,0.933509,1.214036,2025.0,5.0,165.0,rounds_4_5,0.0,rookie_contract,True,19.0,39.0,20.0,0.9743589743589743,2.0,15,627.0,0.626,12,7,1.0,27.0,0.45,1,1.0,0.0,0.0,0.0,1.0,1,0
2025,00-0038996,Tucker Kraft,GB,TE,89.04276139789144,0.6666666666666666,1.510345,1.253448,2023.0,3.0,78.0,round_3,2.0,rookie_contract,True,14.0,32.0,18.0,0.9487179487179487,3.0,8,439.0,0.86,7,7,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,1.0,1,0
2025,00-0040126,Colston Loveland,CHI,TE,114.68358338262718,0.9487179487179487,4.84291,16.85164,2025.0,1.0,10.0,round_1,0.0,rookie_contract,True,3.0,20.0,17.0,0.9230769230769231,4.0,16,701.0,0.645,14,6,2.0,116.0,0.73,1,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0040663,Harold Fannin Jr.,CLE,TE,75.82929365714418,0.5641025641025641,1.225979,2.383916,2025.0,3.0,67.0,round_3,0.0,rookie_contract,True,18.0,34.0,16.0,0.8974358974358975,5.0,16,786.0,0.759375,15,12,0.0,0.0,0.0,0,4.0,1.0,1.0,2.0,1.0,1,0
2025,00-0038935,Brenton Strange,JAX,TE,78.8647508115372,0.5897435897435898,1.667548,1.30585,2023.0,2.0,61.0,round_2,2.0,rookie_contract,True,17.0,31.0,14.0,0.8717948717948718,6.0,12,591.0,0.7483333333333334,11,10,1.0,49.0,0.88,1,2.0,1.0,1.0,1.0,1.0,1,0
2025,00-0037744,Trey McBride,ARI,TE,199.16636689027308,1.0,9.594393,22.354,2022.0,2.0,55.0,round_2,3.0,rookie_contract,True,1.0,13.0,12.0,0.8076923076923077,7.0,17,1033.0,0.9135294117647058,17,17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0
2025,00-0038933,Dalton Kincaid,BUF,TE,92.68840316268242,0.6923076923076923,3.66192,1.97064,2023.0,1.0,25.0,round_1,2.0,rookie_contract,True,13.0,25.0,12.0,0.8076923076923077,7.0,12,302.0,0.3741666666666667,3,0,2.0,66.0,0.4649999999999999,1,10.0,2.0,2.0,6.0,1.0,1,0
2025,00-0039065,Sam LaPorta,DET,TE,79.8778423127509,0.6153846153846154,2.581636,1.610546,2023.0,2.0,34.0,round_2,2.0,rookie_contract,True,16.0,28.0,12.0,0.8076923076923077,7.0,9,517.0,0.9066666666666668,9,9,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,1.0,1,0
2025,00-0039847,Theo Johnson,NYG,TE,61.48237116280326,0.4358974358974359,1.167859,0.96,2024.0,4.0,107.0,rounds_4_5,1.0,rookie_contract,True,23.0,35.0,12.0,0.8076923076923077,7.0,15,872.0,0.8673333333333333,15,15,0.0,0.0,0.0,0,5.0,2.0,2.0,1.0,1.0,1,0
2025,00-0039338,Brock Bowers,LV,TE,93.29312266775398,0.7435897435897436,4.122451,1.61949,2024.0,1.0,13.0,round_1,1.0,rookie_contract,True,11.0,21.0,10.0,0.7051282051282052,11.0,12,605.0,0.8591666666666667,12,11,0.0,0.0,0.0,0,8.0,1.0,2.0,3.0,1.0,1,0
2025,00-0038041,Jake Ferguson,DAL,TE,92.9158242648256,0.717948717948718,3.98222,13.406,2022.0,4.0,129.0,rounds_4_5,3.0,rookie_contract,True,12.0,22.0,10.0,0.7051282051282052,11.0,17,786.0,0.6670588235294117,16,7,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,1.0,1,0
2025,00-0040128,Tyler Warren,IND,TE,86.21768706134586,0.6410256410256411,3.811027,12.724108,2025.0,1.0,14.0,round_1,0.0,rookie_contract,True,15.0,24.0,9.0,0.6410256410256411,15.0,17,899.0,0.8382352941176471,17,16,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,1.0,1,0
2025,00-0039075,Puka Nacua,LA,WR,281.28146136267435,1.0,1.091245,1.03,2023.0,5.0,177.0,rounds_4_5,2.0,rookie_contract,True,1.0,75.0,74.0,1.0,1.0,16,727.0,0.6825,14,7,3.0,178.0,0.8266666666666667,1,5.0,1.0,3.0,0.0,1.0,1,1
2025,00-0038606,Parker Washington,JAX,WR,100.1458392066828,0.7078651685393258,1.078066,1.03,2023.0,6.0,185.0,rounds_6_7,2.0,rookie_contract,True,27.0,76.0,49.0,0.9887640449438202,2.0,16,672.0,0.61375,10,9,1.0,40.0,0.71,1,3.0,0.0,0.0,2.0,1.0,1,1
2025,00-0038559,Michael Wilson,ARI,WR,116.55218070236764,0.8089887640449438,1.456217,1.235406,2023.0,3.0,94.0,round_3,2.0,rookie_contract,True,18.0,64.0,46.0,0.9719101123595506,3.0,17,923.0,0.8135294117647058,17,14,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038608,Kayshon Boutte,NE,WR,90.66034117618686,0.6629213483146067,1.076816,1.03,2023.0,6.0,187.0,rounds_6_7,2.0,rookie_contract,True,31.0,77.0,46.0,0.9719101123595506,3.0,14,607.0,0.6749999999999999,13,8,4.0,180.0,0.6775,1,6.0,2.0,2.0,1.0,1.0,1,1
2025,00-0039410,Ryan Flournoy,DAL,WR,76.1076776391556,0.5056179775280899,0.906667,0.906667,2024.0,6.0,216.0,rounds_6_7,1.0,rookie_contract,True,45.0,85.0,40.0,0.9550561797752809,5.0,16,479.0,0.4475,6,1,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,1.0,1,1
2025,00-0037247,George Pickens,DAL,WR,210.4427112801041,0.9775280898876404,3.656,3.656,2022.0,2.0,52.0,round_2,3.0,rookie_contract,True,3.0,42.0,39.0,0.9438202247191011,6.0,17,968.0,0.8111764705882354,16,15,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038543,Jaxon Smith-Njigba,SEA,WR,241.9190039093038,0.9887640449438202,3.931993,2.060664,2023.0,1.0,20.0,round_1,2.0,rookie_contract,True,2.0,39.0,37.0,0.9325842696629213,7.0,17,829.0,0.7741176470588236,15,13,3.0,143.0,0.7433333333333333,1,7.0,0.0,0.0,0.0,1.0,1,1
2025,00-0039064,Zay Flowers,BAL,WR,152.0338582026944,0.9325842696629213,3.82812,2.02604,2023.0,1.0,22.0,round_1,2.0,rookie_contract,True,7.0,41.0,34.0,0.9213483146067416,8.0,17,878.0,0.8647058823529411,17,16,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,1.0,1,1
2025,00-0038563,Tre Tucker,LV,WR,87.9493380499473,0.6404494382022472,1.446568,1.23219,2023.0,3.0,100.0,round_3,2.0,rookie_contract,True,33.0,65.0,32.0,0.9044943820224719,9.0,17,942.0,0.9482352941176472,17,17,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1,1
2025,00-0038621,DeMario Douglas,NE,WR,67.3250093571227,0.449438202247191,1.063333,1.03,2023.0,6.0,210.0,rounds_6_7,2.0,rookie_contract,True,50.0,80.0,30.0,0.8876404494382022,11.0,17,288.0,0.2588235294117647,1,0,4.0,79.0,0.2975,1,2.0,0.0,0.0,1.0,1.0,1,1
2025,00-0038117,Wan'Dale Robinson,NYG,WR,107.3345909378728,0.7528089887640449,2.604371,1.821159,2022.0,2.0,43.0,round_2,3.0,rookie_contract,True,23.0,52.0,29.0,0.8764044943820225,12.0,16,973.0,0.9075,16,16,0.0,0.0,0.0,0,4.0,1.0,1.0,2.0,1.0,1,1
2025,00-0039868,Troy Franklin,DEN,WR,78.36723052168705,0.5280898876404494,1.188709,0.975,2024.0,4.0,102.0,rounds_4_5,1.0,rookie_contract,True,43.0,71.0,28.0,0.8595505617977528,13.0,17,670.0,0.5958823529411765,14,4,1.0,13.0,0.18,1,0.0,0.0,0.0,0.0,0.0,1,1
2025,00-0038104,Tyquan Thornton,KC,WR,61.89813281281208,0.4157303370786517,1.040556,1.040556,2022.0,2.0,50.0,round_2,3.0,rookie_contract,True,53.0,81.0,28.0,0.8595505617977528,13.0,14,368.0,0.39,4,3,0.0,0.0,0.0,0,2.0,1.0,2.0,0.0,1.0,1,1
2025,00-0037664,Alec Pierce,IND,WR,135.67911305843583,0.8764044943820225,4.151244,3.656,2022.0,2.0,53.0,round_2,3.0,rookie_contract,True,12.0,37.0,25.0,0.8314606741573034,15.0,15,813.0,0.8593333333333334,15,13,0.0,0.0,0.0,0,7.0,2.0,2.0,0.0,1.0,1,1
2025,00-0039067,Rashee Rice,KC,WR,78.68194884641753,0.5393258426966292,1.324598,0.893649,2023.0,2.0,55.0,round_2,2.0,rookie_contract,True,42.0,67.0,25.0,0.8314606741573034,15.0,8,415.0,0.74875,7,6,0.0,0.0,0.0,0,6.0,1.0,2.0,0.0,1.0,1,1
