season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence
2021,ATL,00-0032778,Tajae Sharpe,WR,WR,0,0,0,0,0,0,25,230,0,37,0.0,0.0,4.768193417044516,4.768193417044516,22.518193417044515,Tajae Sharpe,WR,0.85,0.99,0.99,,True,False,WR,False,low_sample,contract_matched,low
2021,ATL,00-0033094,Marvin Hall,WR,WR,0,0,0,0,0,0,1,10,0,1,0.0,0.0,1.1529732060153037,1.1529732060153037,1.9029732060153037,,,,,,,False,True,WR,False,low_sample,missing_contract,low
2021,ATL,00-0033950,Wayne Gallman,RB,RB,0,0,0,0,104,0,1,21,0,3,0.0,-4.621986972168088,0.8003405330237001,-3.821646439144388,2.678353560855612,,,,,,,False,True,RB,False,low_sample,missing_contract,low
2021,ATL,00-0034132,Christian Blake,WR,WR,0,0,0,0,0,0,4,25,0,9,0.0,0.0,-4.044391768111382,-4.044391768111382,-1.7943917681113817,Christian Blake,WR,0.85,0.85,0.85,,True,False,WR,False,low_sample,contract_matched,low
2021,ATL,00-0034343,Josh Rosen,QB,QB,19,0,2,0,0,0,0,0,0,0,-18.704876960255206,0.0,0.0,-18.704876960255206,-22.514876960255204,Josh Rosen,QB,0.85,0.85,0.85,0.0,True,False,QB,False,low_sample,contract_matched,low
2021,ATL,00-0034411,Russell Gage,WR,WR,0,0,0,0,0,0,66,770,4,94,0.0,0.0,9.49708630586398,9.49708630586398,76.49708630586397,Russell Gage,WR,2.222048,2.183,2.183,0.0,True,False,WR,True,normal_sample,contract_matched,high
2021,ATL,00-0034830,Hayden Hurst,TE,TE,0,0,0,0,0,0,26,221,3,31,0.0,0.0,2.6473092014316153,2.6473092014316153,29.197309201431615,Hayden Hurst,TE,1.984914,1.984914,1.984914,1.349742,True,False,TE,False,low_sample,contract_matched,low
2021,ATL,00-0034837,Calvin Ridley,WR,WR,0,0,0,0,0,0,31,281,2,52,0.0,0.0,7.901234673704039,7.901234673704039,35.701234673704036,Calvin Ridley,WR,3.468415,1.966464,1.966464,0.972809,True,False,WR,True,normal_sample,contract_matched,high
2021,ATL,00-0035208,Olamide Zaccheaus,WR,WR,0,0,0,0,2,0,31,406,3,53,0.0,0.5175025649368763,11.59271291705966,12.110215481996537,49.26021548199654,Olamide Zaccheaus,WR,0.851668,0.85,0.85,0.0,True,False,WR,True,normal_sample,contract_matched,high
2021,ATL,00-0035273,Qadree Ollison,RB,RB,0,0,0,0,105,1,4,12,0,6,0.0,-4.715630086429883,-4.134114332846366,-8.849744419276249,1.0002555807237514,Qadree Ollison,RB,0.236111,0.236111,0.85,,True,False,RB,False,low_sample,contract_matched,low
2021,ATL,00-0035572,Parker Hesse,TE,TE,0,0,0,0,0,0,5,43,0,6,0.0,0.0,1.8925271882326342,1.8925271882326342,5.292527188232635,Parker Hesse,TE,0.036667,0.036667,0.66,,True,False,TE,False,low_sample,contract_matched,low
2021,ATL,00-0036825,Feleipe Franks,TE,TE,0,0,1,0,6,0,0,0,0,0,-3.8404934149584733,-1.5626982741523534,0.0,-5.403191689110827,-7.103191689110827,Feleipe Franks,QB,0.665,0.675,0.66,0.085,True,False,TE,False,low_sample,contract_matched,low
2021,ATL,00-0036950,Avery Williams,RB,RB,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Avery Williams,RB,0.720038,0.900152,0.66,,True,False,RB,False,low_sample,contract_matched,low
2021,ATL,00-0036951,Frank Darby,WR,WR,0,0,0,0,0,0,1,14,0,4,0.0,0.0,-3.1446534376009367,-3.1446534376009367,-2.1946534376009366,Frank Darby,WR,0.711123,0.864492,0.66,,True,False,WR,False,low_sample,contract_matched,low
2021,ATL,00-0036970,Kyle Pitts,TE,TE,0,0,0,0,0,0,68,1026,1,110,0.0,0.0,26.331114934679142,26.331114934679142,97.63111493467915,Kyle Pitts,TE,5.983726,21.954904,0.66,0.66,True,False,TE,True,normal_sample,contract_matched,high
2021,BAL,00-0026300,Josh Johnson,QB,QB,304,2,1,1,10,0,0,0,0,0,14.301222818729002,-5.051410805317573,0.0,9.249812013411429,14.539812013411428,Josh Johnson,QB,0.188889,0.238889,1.075,0.0,True,False,QB,False,low_sample,contract_matched,low
2021,BAL,00-0030496,Le'Veon Bell,RB,RB,0,0,0,0,83,2,1,-1,0,3,0.0,-5.538217828598368,-2.2147071573417634,-7.7529249859401315,2.597075014059869,,,,,,,False,True,RB,False,low_sample,missing_contract,low
2021,BAL,00-0030513,Latavius Murray,RB,RB,0,0,0,0,501,6,10,75,0,13,0.0,-6.842852562328158,-0.5330616743885912,-7.375914236716749,41.92408576328325,Latavius Murray,RB,1.075,1.075,1.075,0.0,True,False,RB,True,normal_sample,contract_matched,high
2021,BAL,00-0031285,Devonta Freeman,RB,RB,0,0,0,0,576,5,34,190,1,42,0.0,-2.9614123813637194,1.1618387021007948,-1.7995736792629247,63.00042632073708,Devonta Freeman,RB,0.802778,1.015278,1.075,0.0,True,False,RB,True,normal_sample,contract_matched,high
2021,BAL,00-0031325,Sammy Watkins,WR,WR,0,0,0,0,0,0,27,394,1,49,0.0,0.0,-1.9972376012962414,-1.9972376012962414,27.45276239870376,Sammy Watkins,WR,5.0,5.0,1.25,1.25,True,False,WR,True,normal_sample,contract_matched,high
2021,BAL,00-0031598,Nick Boyle,TE,TE,0,0,0,0,0,0,1,2,0,2,0.0,0.0,-2.0771086197928526,-2.0771086197928526,-1.7271086197928525,Nick Boyle,TE,5.833334,7.5,1.5,1.5,True,False,TE,False,low_sample,contract_matched,low
2021,BAL,00-0031690,Eric Tomlinson,TE,TE,0,0,0,0,0,0,1,7,0,1,0.0,0.0,0.30538763641379774,0.30538763641379774,0.9053876364137978,Eric Tomlinson,TE,0.425,0.495,0.99,,True,False,TE,False,low_sample,contract_matched,low
2021,BAL,00-0034164,Trenton Cannon,RB,RB,0,0,0,0,5,0,0,0,0,0,0.0,-1.8936103829182684,0.0,-1.8936103829182684,-1.6436103829182684,,,,,,,False,True,RB,False,low_sample,missing_contract,low
2021,BAL,00-0034753,Mark Andrews,TE,TE,0,0,0,0,0,0,107,1361,9,153,0.0,-1.0924461375689134,56.07177659429325,54.979330456724334,176.77933045672432,Mark Andrews,TE,3.161776,11.083059,0.92,0.92,True,False,TE,True,normal_sample,contract_matched,high
