k_matches,outcome,matched_candidates,candidate_rate,matched_control_rate,lift,lift_pp,lift_se,lift_ci_low_pp,lift_ci_high_pp,relative_lift_pct
1,appeared_next_year,252,0.8531746031746031,0.6785714285714286,0.1746031746031746,17.46031746031746,0.0347356014913151,10.652139568019695,24.268495352615226,25.730994152046783
1,primary_v5_hit,252,0.5634920634920635,0.4603174603174603,0.1031746031746031,10.317460317460316,0.0419512121132605,2.095022743261257,18.539897891659376,22.41379310344828
1,secondary_v5_hit,252,0.5634920634920635,0.2896825396825397,0.2738095238095238,27.380952380952383,0.0417225280742696,19.203336878395525,35.55856788350924,94.52054794520548
1,retained_positive_surplus,252,0.5634920634920635,0.2896825396825397,0.2738095238095238,27.380952380952383,0.0417225280742696,19.203336878395525,35.55856788350924,94.52054794520548
1,improved_production_score,252,0.3333333333333333,0.4047619047619047,-0.0714285714285714,-7.142857142857142,0.042956103204788,-15.562253370995608,1.2765390852813223,-17.64705882352941
1,improved_production_percentile,252,0.3253968253968254,0.4285714285714285,-0.1031746031746031,-10.317460317460316,0.0430669578489993,-18.75858405586419,-1.8763365790564424,-24.074074074074073
1,next_year_top_half_position,252,0.5634920634920635,0.4603174603174603,0.1031746031746031,10.317460317460316,0.0419512121132605,2.095022743261257,18.539897891659376,22.41379310344828
1,next_year_meaningful_regular_role,252,0.8253968253968254,0.6785714285714286,0.1468253968253968,14.682539682539684,0.0359104906536335,7.644083514427511,21.720995850651853,21.637426900584796
3,appeared_next_year,252,0.8531746031746031,0.656084656084656,0.1970899470899471,19.708994708994712,0.0259687544044994,14.619118845712824,24.7988705722766,30.040322580645167
3,primary_v5_hit,252,0.5634920634920635,0.4206349206349206,0.1428571428571428,14.285714285714285,0.03475726836201,7.4732896867603245,21.098138884668245,33.9622641509434
3,secondary_v5_hit,252,0.5634920634920635,0.32010582010582,0.2433862433862434,24.338624338624346,0.0357276532090277,17.33600430965491,31.34124436759378,76.0330578512397
3,retained_positive_surplus,252,0.5634920634920635,0.32010582010582,0.2433862433862434,24.338624338624346,0.0357276532090277,17.33600430965491,31.34124436759378,76.0330578512397
3,improved_production_score,252,0.3333333333333333,0.4338624338624338,-0.1005291005291005,-10.052910052910052,0.0349051650609277,-16.8943224048519,-3.211497700968205,-23.17073170731708
3,improved_production_percentile,252,0.3253968253968254,0.447089947089947,-0.1216931216931216,-12.16931216931217,0.0348253908621016,-18.99508877828408,-5.343535560340254,-27.2189349112426
3,next_year_top_half_position,252,0.5634920634920635,0.4206349206349206,0.1428571428571428,14.285714285714285,0.03475726836201,7.4732896867603245,21.098138884668245,33.9622641509434
3,next_year_meaningful_regular_role,252,0.8253968253968254,0.656084656084656,0.1693121693121693,16.931216931216934,0.027610771182408,11.51950577946496,22.342928082968903,25.80645161290323
5,appeared_next_year,252,0.8531746031746031,0.6332671957671957,0.2199074074074074,21.99074074074074,0.02622648222769,16.850350224113498,27.131131257367983,34.725848563968675
5,primary_v5_hit,252,0.5634920634920635,0.360515873015873,0.2029761904761904,20.297619047619047,0.0340858792298632,13.616786718565857,26.97845137667224,56.30159603742432
5,secondary_v5_hit,252,0.5634920634920635,0.2984126984126984,0.2650793650793651,26.50793650793651,0.0355448597620931,19.541143994566244,33.47472902130677,88.82978723404253
5,retained_positive_surplus,252,0.5634920634920635,0.2984126984126984,0.2650793650793651,26.50793650793651,0.0355448597620931,19.541143994566244,33.47472902130677,88.82978723404253
5,improved_production_score,252,0.3333333333333333,0.415542328042328,-0.0822089947089947,-8.220899470899472,0.0345009774920861,-14.983091059348356,-1.4587078824505884,-19.78354289352221
5,improved_production_percentile,252,0.3253968253968254,0.4266534391534392,-0.1012566137566137,-10.125661375661377,0.0344939576832371,-16.88647708157585,-3.364845669746899,-23.732754611688108
5,next_year_top_half_position,252,0.5634920634920635,0.360515873015873,0.2029761904761904,20.297619047619047,0.0340858792298632,13.616786718565857,26.97845137667224,56.30159603742432
5,next_year_meaningful_regular_role,252,0.8253968253968254,0.628505291005291,0.1968915343915344,19.689153439153444,0.0280153498875208,14.198144861199353,25.180162017107538,31.326949384404937
