candidate_row_id,n_matched_controls,match_distance_avg,match_distance_min,match_distance_max,match_tier,candidate_season,candidate_player_id,candidate_player_name,candidate_team,candidate_position_final,candidate_draft_year,candidate_draft_round,candidate_draft_pick,candidate_draft_capital_bucket,candidate_years_since_drafted,candidate_estimated_contract_stage,candidate_production_score,candidate_production_percentile_position,candidate_cap_number,candidate_cash_paid,candidate_production_rank_position,candidate_cost_rank_position,candidate_player_surplus_gap,candidate_surplus_percentile_position,candidate_player_surplus_rank,candidate_reg_snap_games,candidate_reg_offense_snaps,candidate_reg_avg_offense_snap_pct,candidate_reg_games_off_snap_50_plus,candidate_reg_games_off_snap_70_plus,candidate_playoff_snap_games,candidate_playoff_offense_snaps,candidate_playoff_avg_offense_snap_pct,candidate_appeared_next_year,matched_control_appeared_next_year_mean,candidate_primary_v5_hit,matched_control_primary_v5_hit_mean,candidate_secondary_v5_hit,matched_control_secondary_v5_hit_mean,candidate_retained_positive_surplus,matched_control_retained_positive_surplus_mean,candidate_improved_production_score,matched_control_improved_production_score_mean,candidate_improved_production_percentile,matched_control_improved_production_percentile_mean,candidate_next_year_top_half_position,matched_control_next_year_top_half_position_mean,candidate_next_year_meaningful_regular_role,matched_control_next_year_meaningful_regular_role_mean,lift_appeared_next_year,lift_primary_v5_hit,lift_secondary_v5_hit,lift_retained_positive_surplus,lift_improved_production_score,lift_improved_production_percentile,lift_next_year_top_half_position,lift_next_year_meaningful_regular_role
138,1,0.47344902496335806,0.47344902496335806,0.47344902496335806,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034775,Christian Kirk,ARI,WR,2018.0,2.0,47.0,round_2,3.0,rookie_contract,139.0112110854059,0.8627450980392157,3.024795,2.433,15.0,44.0,29.0,0.7696078431372549,24.0,17,894.0,0.7558823529411764,17,12,1.0,49.0,0.88,1,1.0,1,1.0,1,0.0,1,0.0,0,1.0,0,1.0,1,1.0,1,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0
139,1,0.7758178019629843,0.7758178019629843,0.7758178019629843,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034791,Nick Chubb,CLE,RB,2018.0,2.0,35.0,round_2,3.0,rookie_contract,122.4052998433514,0.9558823529411764,4.782381,12.92,4.0,12.0,8.0,0.6544117647058824,24.0,14,482.0,0.5278571428571428,10,0,0.0,0.0,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1,0.27646267018701476,0.27646267018701476,0.27646267018701476,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034796,Lamar Jackson,BAL,QB,2018.0,1.0,32.0,round_1,3.0,rookie_contract,103.62181298235944,0.5833333333333334,3.013708,1.77159,16.0,29.0,13.0,0.8472222222222222,6.0,12,810.0,0.91,11,11,0.0,0.0,0.0,1,1.0,1,1.0,0,1.0,0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
143,1,0.9317691509170769,0.9317691509170769,0.9317691509170769,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034827,DJ Moore,CAR,WR,2018.0,1.0,24.0,round_1,3.0,rookie_contract,112.39921373477856,0.7647058823529411,3.554509,2.003361,25.0,36.0,11.0,0.6176470588235294,40.0,17,992.0,0.8664705882352941,17,17,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
144,1,0.7022515555074339,0.7022515555074339,0.7022515555074339,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034829,Mike Gesicki,MIA,TE,2018.0,2.0,42.0,round_2,3.0,rookie_contract,81.61856412887369,0.7222222222222222,2.103794,1.381626,11.0,26.0,15.0,0.8472222222222222,6.0,17,828.0,0.7141176470588235,16,10,0.0,0.0,0.0,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
149,1,1.0422819210888064,1.0422819210888064,1.0422819210888064,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034857,Josh Allen,BUF,QB,2018.0,1.0,7.0,round_1,3.0,rookie_contract,272.4125754276605,1.0,10.202337,20.0,1.0,15.0,14.0,0.8888888888888888,5.0,17,1161.0,0.9682352941176472,17,17,2.0,117.0,0.975,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,1.0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
154,1,1.0992607220073392,1.0992607220073392,1.0992607220073392,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0034983,Hunter Renfrow,LV,WR,2019.0,5.0,149.0,rounds_4_5,2.0,rookie_contract,153.6504707485502,0.9117647058823528,0.928987,0.85,10.0,81.0,71.0,0.9901960784313726,2.0,17,758.0,0.6723529411764706,16,7,1.0,59.0,0.77,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
155,1,0.29915097263118207,0.29915097263118207,0.29915097263118207,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035140,Mecole Hardman,KC,WR,2019.0,2.0,56.0,round_2,2.0,rookie_contract,74.14000685616628,0.5,1.362287,0.949096,52.0,65.0,13.0,0.6421568627450981,37.0,17,623.0,0.5158823529411765,9,2,3.0,100.0,0.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1,1.1252166813094957,1.1252166813094957,1.1252166813094957,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035216,Diontae Johnson,PIT,WR,2019.0,3.0,66.0,round_3,2.0,rookie_contract,137.43647980532978,0.8529411764705882,1.167535,0.884178,16.0,70.0,54.0,0.9607843137254902,4.0,16,988.0,0.9075,16,16,1.0,60.0,0.88,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1,0.4975013868007508,0.4975013868007508,0.4975013868007508,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035228,Kyler Murray,ARI,QB,2019.0,1.0,1.0,round_1,2.0,rookie_contract,163.70262334349803,0.75,9.763721,3.86624,10.0,16.0,6.0,0.6388888888888888,14.0,14,940.0,0.9757142857142858,14,14,1.0,54.0,0.96,1,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,1,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
162,1,0.9602535052755884,0.9602535052755884,0.9602535052755884,tier_1_same_season_position_draft_bucket_contract_stage,2021,00-0035250,Devin Singletary,BUF,RB,2019.0,3.0,74.0,round_3,2.0,rookie_contract,82.77048466795208,0.75,1.108956,0.85,18.0,41.0,23.0,0.8382352941176471,11.0,17,718.0,0.5858823529411765,9,6,2.0,112.0,0.93,1,1.0,1,0.0,0,1.0,0,1.0,0,0.0,0,0.0,1,0.0,1,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0
