candidate_season,outcome,matched_candidates,candidate_rate,matched_control_rate,lift,lift_pp,lift_se,lift_ci_low_pp,lift_ci_high_pp,relative_lift_pct
2021,appeared_next_year,68,0.7941176470588235,0.5882352941176471,0.20588235294117646,20.588235294117645,0.07425019851521358,6.035196385135783,35.141274203099506,35.0
2021,primary_v5_hit,68,0.5735294117647058,0.45588235294117646,0.11764705882352941,11.76470588235294,0.08518278586787084,-4.931120147749743,28.46053191245562,25.806451612903224
2021,secondary_v5_hit,68,0.47058823529411764,0.35294117647058826,0.11764705882352941,11.76470588235294,0.08772165394579551,-5.428738291022977,28.958150055728858,33.33333333333333
2021,retained_positive_surplus,68,0.47058823529411764,0.35294117647058826,0.11764705882352941,11.76470588235294,0.08772165394579551,-5.428738291022977,28.958150055728858,33.33333333333333
2021,improved_production_score,68,0.3235294117647059,0.39705882352941174,-0.07352941176470588,-7.352941176470589,0.08718647950419539,-24.441491159292884,9.735608806351708,-18.51851851851852
2021,improved_production_percentile,68,0.3382352941176471,0.39705882352941174,-0.058823529411764705,-5.88235294117647,0.09104397181019042,-23.72697141597379,11.962265533620851,-14.814814814814817
2021,next_year_top_half_position,68,0.5735294117647058,0.45588235294117646,0.11764705882352941,11.76470588235294,0.08518278586787084,-4.931120147749743,28.46053191245562,25.806451612903224
2021,next_year_meaningful_regular_role,68,0.7941176470588235,0.5882352941176471,0.20588235294117646,20.588235294117645,0.07425019851521358,6.035196385135783,35.141274203099506,35.0
2022,appeared_next_year,58,0.8793103448275862,0.603448275862069,0.27586206896551724,27.586206896551722,0.06866237064311606,14.128382250500977,41.04403154260247,45.714285714285715
2022,primary_v5_hit,58,0.5862068965517241,0.3620689655172414,0.22413793103448276,22.413793103448278,0.08882885060328896,5.00333838520364,39.824247821692914,61.904761904761905
2022,secondary_v5_hit,58,0.5862068965517241,0.13793103448275862,0.4482758620689655,44.827586206896555,0.07449127239549264,30.227296817379994,59.42787559641312,325.0
2022,retained_positive_surplus,58,0.5862068965517241,0.13793103448275862,0.4482758620689655,44.827586206896555,0.07449127239549264,30.227296817379994,59.42787559641312,325.0
2022,improved_production_score,58,0.3620689655172414,0.3103448275862069,0.05172413793103448,5.172413793103448,0.09011122317842717,-12.489385949868275,22.834213536075172,16.666666666666664
2022,improved_production_percentile,58,0.3275862068965517,0.3103448275862069,0.017241379310344827,1.7241379310344827,0.09034242618366327,-15.982977600963515,19.431253463032483,5.555555555555555
2022,next_year_top_half_position,58,0.5862068965517241,0.3620689655172414,0.22413793103448276,22.413793103448278,0.08882885060328896,5.00333838520364,39.824247821692914,61.904761904761905
2022,next_year_meaningful_regular_role,58,0.8793103448275862,0.603448275862069,0.27586206896551724,27.586206896551722,0.06866237064311606,14.128382250500977,41.04403154260247,45.714285714285715
2023,appeared_next_year,59,0.9322033898305084,0.6779661016949152,0.2542372881355932,25.423728813559322,0.0708684556926678,11.533511497796434,39.31394612932221,37.5
2023,primary_v5_hit,59,0.576271186440678,0.4576271186440678,0.11864406779661017,11.864406779661017,0.0840414920857544,-4.607725669146843,28.336539228468876,25.925925925925924
2023,secondary_v5_hit,59,0.6440677966101694,0.15254237288135594,0.4915254237288136,49.152542372881356,0.07401360449577606,34.64587589170925,63.65920885405346,322.22222222222223
2023,retained_positive_surplus,59,0.6440677966101694,0.15254237288135594,0.4915254237288136,49.152542372881356,0.07401360449577606,34.64587589170925,63.65920885405346,322.22222222222223
2023,improved_production_score,59,0.3728813559322034,0.3728813559322034,0.0,0.0,0.08716591058017235,-17.084518473713782,17.084518473713782,0.0
2023,improved_production_percentile,59,0.3050847457627119,0.3728813559322034,-0.06779661016949153,-6.779661016949152,0.07968526186382073,-22.397972342258015,8.838650308359709,-18.181818181818183
2023,next_year_top_half_position,59,0.576271186440678,0.4576271186440678,0.11864406779661017,11.864406779661017,0.0840414920857544,-4.607725669146843,28.336539228468876,25.925925925925924
2023,next_year_meaningful_regular_role,59,0.8813559322033898,0.6779661016949152,0.2033898305084746,20.33898305084746,0.0716331203127763,6.298891469543305,34.379074632151614,30.000000000000004
2024,appeared_next_year,67,0.8208955223880597,0.835820895522388,-0.014925373134328358,-1.4925373134328357,0.05821301404165599,-12.902288065597409,9.917213438731737,-1.7857142857142856
2024,primary_v5_hit,67,0.5223880597014925,0.5522388059701493,-0.029850746268656716,-2.9850746268656714,0.07659106626040124,-17.996923613904315,12.02677436017297,-5.405405405405405
2024,secondary_v5_hit,67,0.5671641791044776,0.47761194029850745,0.08955223880597014,8.955223880597014,0.08162567838640453,-7.043409083138273,24.9538568443323,18.75
2024,retained_positive_surplus,67,0.5671641791044776,0.47761194029850745,0.08955223880597014,8.955223880597014,0.08162567838640453,-7.043409083138273,24.9538568443323,18.75
2024,improved_production_score,67,0.2835820895522388,0.5223880597014925,-0.23880597014925373,-23.88059701492537,0.07694280664695677,-38.9613871177289,-8.799806912121847,-45.714285714285715
2024,improved_production_percentile,67,0.3283582089552239,0.6119402985074627,-0.2835820895522388,-28.35820895522388,0.07902037634398981,-43.846202718645884,-12.870215191801876,-46.34146341463414
2024,next_year_top_half_position,67,0.5223880597014925,0.5522388059701493,-0.029850746268656716,-2.9850746268656714,0.07659106626040124,-17.996923613904315,12.02677436017297,-5.405405405405405
2024,next_year_meaningful_regular_role,67,0.7611940298507462,0.835820895522388,-0.07462686567164178,-7.462686567164178,0.0649023649557742,-20.18355009849592,5.258176964167566,-8.928571428571429
