candidate_position_final,outcome,matched_candidates,candidate_rate,matched_control_rate,lift,lift_pp,lift_se,lift_ci_low_pp,lift_ci_high_pp,relative_lift_pct
QB,appeared_next_year,29,0.9310344827586207,0.9310344827586207,0.0,0.0,0.07018624063435965,-13.756503164334491,13.756503164334491,0.0
QB,primary_v5_hit,29,0.6896551724137931,0.4827586206896552,0.20689655172413793,20.689655172413794,0.12534985862068446,-3.87891711724036,45.25822746206794,42.857142857142854
QB,secondary_v5_hit,29,0.5862068965517241,0.41379310344827586,0.1724137931034483,17.24137931034483,0.1409762366626028,-10.389963075525321,44.87272169621498,41.66666666666667
QB,retained_positive_surplus,29,0.5862068965517241,0.41379310344827586,0.1724137931034483,17.24137931034483,0.1409762366626028,-10.389963075525321,44.87272169621498,41.66666666666667
QB,improved_production_score,29,0.3103448275862069,0.4482758620689655,-0.13793103448275862,-13.793103448275861,0.11873862850437389,-37.06587463513314,9.479667738581421,-30.76923076923077
QB,improved_production_percentile,29,0.3103448275862069,0.4482758620689655,-0.13793103448275862,-13.793103448275861,0.1187386285043739,-37.06587463513314,9.479667738581425,-30.76923076923077
QB,next_year_top_half_position,29,0.6896551724137931,0.4827586206896552,0.20689655172413793,20.689655172413794,0.12534985862068446,-3.87891711724036,45.25822746206794,42.857142857142854
QB,next_year_meaningful_regular_role,29,0.896551724137931,0.9310344827586207,-0.034482758620689655,-3.4482758620689653,0.07819954613984012,-18.77538690547763,11.8788351813397,-3.7037037037037033
RB,appeared_next_year,64,0.828125,0.59375,0.234375,23.4375,0.06585136695439135,10.530632076939295,36.3443679230607,39.473684210526315
RB,primary_v5_hit,64,0.5,0.234375,0.265625,26.5625,0.07467584545782706,11.926034290265896,41.198965709734104,113.33333333333333
RB,secondary_v5_hit,64,0.484375,0.1875,0.296875,29.6875,0.08533223905315855,12.962381145580922,46.41261885441907,158.33333333333331
RB,retained_positive_surplus,64,0.484375,0.1875,0.296875,29.6875,0.08533223905315855,12.962381145580922,46.41261885441907,158.33333333333331
RB,improved_production_score,64,0.328125,0.234375,0.09375,9.375,0.07942860800644357,-6.193007169262938,24.943007169262938,40.0
RB,improved_production_percentile,64,0.3125,0.296875,0.015625,1.5625,0.08180802725535373,-14.47187334204933,17.596873342049328,5.263157894736842
RB,next_year_top_half_position,64,0.5,0.234375,0.265625,26.5625,0.07467584545782706,11.926034290265896,41.198965709734104,113.33333333333333
RB,next_year_meaningful_regular_role,64,0.765625,0.59375,0.171875,17.1875,0.06884350603660956,3.694172816824526,30.680827183175474,28.947368421052634
TE,appeared_next_year,33,0.8787878787878788,0.6363636363636364,0.24242424242424243,24.242424242424242,0.0976068085357964,5.11148976940815,43.37335871544033,38.0952380952381
TE,primary_v5_hit,33,0.5757575757575758,0.48484848484848486,0.09090909090909091,9.090909090909092,0.10078889920947023,-10.663715154147074,28.845533335965257,18.75
TE,secondary_v5_hit,33,0.5757575757575758,0.42424242424242425,0.15151515151515152,15.151515151515152,0.11613416452087798,-7.610781094576932,37.91381139760723,35.714285714285715
TE,retained_positive_surplus,33,0.5757575757575758,0.42424242424242425,0.15151515151515152,15.151515151515152,0.11613416452087798,-7.610781094576932,37.91381139760723,35.714285714285715
TE,improved_production_score,33,0.24242424242424243,0.5151515151515151,-0.2727272727272727,-27.27272727272727,0.11736313170325505,-50.275901086565256,-4.269553458889283,-52.94117647058824
TE,improved_production_percentile,33,0.2727272727272727,0.5151515151515151,-0.24242424242424243,-24.242424242424242,0.12332439845530081,-48.4140063396632,-0.07084214518528476,-47.05882352941177
TE,next_year_top_half_position,33,0.5757575757575758,0.48484848484848486,0.09090909090909091,9.090909090909092,0.10078889920947023,-10.663715154147074,28.845533335965257,18.75
TE,next_year_meaningful_regular_role,33,0.8787878787878788,0.6363636363636364,0.24242424242424243,24.242424242424242,0.0976068085357964,5.11148976940815,43.37335871544033,38.0952380952381
WR,appeared_next_year,126,0.8412698412698413,0.6746031746031746,0.16666666666666666,16.666666666666664,0.05255382728122437,6.36611651954669,26.967216813786642,24.705882352941174
WR,primary_v5_hit,126,0.5634920634920635,0.5634920634920635,0.0,0.0,0.06274159654095468,-12.297352922027118,12.297352922027118,0.0
WR,secondary_v5_hit,126,0.5952380952380952,0.2777777777777778,0.31746031746031744,31.746031746031743,0.05594872215888305,20.780082202890664,42.711981289172826,114.28571428571428
WR,retained_positive_surplus,126,0.5952380952380952,0.2777777777777778,0.31746031746031744,31.746031746031743,0.05594872215888305,20.780082202890664,42.711981289172826,114.28571428571428
WR,improved_production_score,126,0.36507936507936506,0.4523809523809524,-0.0873015873015873,-8.73015873015873,0.0627616719251247,-21.03144642748317,3.5711289671657127,-19.298245614035086
WR,improved_production_percentile,126,0.3492063492063492,0.46825396825396826,-0.11904761904761904,-11.904761904761903,0.06234277275829768,-24.12394536538825,0.3144215558644414,-25.423728813559322
WR,next_year_top_half_position,126,0.5634920634920635,0.5634920634920635,0.0,0.0,0.06274159654095468,-12.297352922027118,12.297352922027118,0.0
WR,next_year_meaningful_regular_role,126,0.8253968253968254,0.6746031746031746,0.15079365079365079,15.079365079365079,0.054122096320760635,4.4714342004959935,25.687295958234163,22.352941176470587
