season,player_id,position_final,player_name,team,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,cap_number,cash_paid,has_contract_match,has_missing_contract,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,reg_snap_games,reg_teams_with_snaps,reg_offense_snaps,reg_defense_snaps,reg_special_teams_snaps,reg_avg_offense_snap_pct,reg_max_offense_snap_pct,reg_games_off_snap_50_plus,reg_games_off_snap_70_plus,reg_avg_defense_snap_pct,reg_max_defense_snap_pct,reg_games_def_snap_50_plus,reg_avg_st_snap_pct,reg_max_st_snap_pct,playoff_snap_games,playoff_teams_with_snaps,playoff_offense_snaps,playoff_defense_snaps,playoff_special_teams_snaps,playoff_avg_offense_snap_pct,playoff_max_offense_snap_pct,playoff_games_off_snap_50_plus,playoff_games_off_snap_70_plus,playoff_avg_defense_snap_pct,playoff_max_defense_snap_pct,playoff_games_def_snap_50_plus,playoff_avg_st_snap_pct,playoff_max_st_snap_pct,injury_report_weeks,out_weeks,doubtful_weeks,questionable_weeks,practice_dnp_weeks,limited_practice_weeks,unique_primary_injury_weeks,has_reg_snap_data,has_playoff_snap_data,has_injury_source_for_season,injury_merge_matched,played_regular_season,played_playoffs,was_on_injury_report
2021,00-0027973,QB,Andy Dalton,CHI,1515,8,9,18,76,0,0,0,0,0,-30.054053774520156,-0.7613289881432483,0.0,-30.815382762663404,-18.365382762663405,5.0,10.0,True,False,True,normal_sample,contract_matched,high,2011.0,2.0,35.0,10.0,round_2,second_contract_or_later,False,32.0,24.0,-8.0,25.0,8,1,412.0,0.0,0.0,0.725,1.0,5,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0029000,WR,Cole Beasley,BUF,0,0,0,0,0,0,82,693,1,112,-0.4775908199953846,0.0,6.190129305082187,5.712538485086802,63.8625384850868,7.570588,5.9,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,58.0,16.0,-42.0,88.0,16,1,691.0,0.0,1.0,0.60625,0.91,12,5,0.0,0.0,0,0.001875,0.03,2.0,1.0,47.0,0.0,0.0,0.385,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0029239,RB,Brandon Bolden,NE,0,0,0,0,226,1,41,405,2,49,0.0,-1.0987142397894307,19.05911317576294,17.960398935973508,68.76039893597351,2.0,2.0,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,26.0,25.0,-1.0,37.0,17,1,342.0,0.0,278.0,0.30764705882352944,0.56,2,0,0.0,0.0,0,0.6323529411764706,0.78,1.0,1.0,24.0,0.0,15.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.6,0.6,,,,,,,,1,1,0,0,1,1,
2021,00-0029263,QB,Russell Wilson,SEA,3113,25,6,33,183,2,0,0,0,0,16.61203137326887,-2.4279138694765168,0.0,14.184117503792354,90.21411750379237,32.0,19.0,True,False,True,normal_sample,contract_matched,high,2012.0,3.0,75.0,9.0,round_3,second_contract_or_later,False,19.0,1.0,-18.0,34.0,14,1,788.0,0.0,0.0,0.972857142857143,1.0,14,13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0029293,WR,Marvin Jones,JAX,0,0,0,0,0,0,73,832,4,120,0.0,0.0,25.553950244378093,25.553950244378093,97.4039502443781,4.7875,7.5,True,False,True,normal_sample,contract_matched,high,2012.0,5.0,166.0,9.0,rounds_4_5,second_contract_or_later,False,38.0,29.0,-9.0,63.0,17,1,980.0,0.0,1.0,0.9041176470588235,0.98,17,17,0.0,0.0,0,0.0029411764705882353,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0029604,QB,Kirk Cousins,MIN,4221,33,7,28,115,1,0,0,0,0,68.7925677748154,-4.479162720842506,0.0,64.31340505397289,160.27340505397288,31.166666,21.0,True,False,True,normal_sample,contract_matched,high,2012.0,4.0,102.0,9.0,rounds_4_5,second_contract_or_later,False,11.0,2.0,-9.0,26.0,16,1,1087.0,0.0,0.0,1.0,1.0,16,16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0029701,QB,Ryan Tannehill,TEN,3734,21,14,47,270,7,0,0,0,0,25.66361344669434,34.28934092627623,0.0,59.952954372970574,134.04295437297057,11.1,24.5,True,False,True,normal_sample,contract_matched,high,2012.0,1.0,8.0,9.0,round_1,second_contract_or_later,False,13.0,11.0,-2.0,20.0,17,1,1168.0,0.0,0.0,0.9858823529411763,1.0,17,17,0.0,0.0,0,0.0,0.0,1.0,1.0,53.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0030035,WR,Adam Thielen,MIN,0,0,0,0,2,0,67,726,10,95,0.0,-0.1940601826645434,24.06156817936718,23.867507996702635,107.01750799670263,5.941176,11.7,True,False,True,normal_sample,contract_matched,high,,,,,undrafted_or_unmatched,undrafted_or_unmatched,False,28.0,20.0,-8.0,62.0,13,1,758.0,0.0,1.0,0.84,1.0,11,11,0.0,0.0,0,0.003076923076923077,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
2021,00-0030061,TE,Zach Ertz,ARI,0,0,0,0,4,0,56,574,3,81,0.0,0.4552927357144654,6.708655235978004,7.163947971692469,59.06394797169247,5.666667,5.666667,True,False,True,normal_sample,contract_matched,high,2013.0,2.0,35.0,8.0,round_2,second_contract_or_later,False,20.0,11.0,-9.0,31.0,17,2,849.0,0.0,1.0,0.7417647058823529,0.97,16,11,0.0,0.0,0,0.0023529411764705885,0.04,1.0,1.0,53.0,0.0,0.0,0.95,0.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,0,1,1,
2021,00-0030068,WR,Marquise Goodwin,CHI,0,0,0,0,-1,0,20,313,1,40,0.0,-1.2417586655938069,11.87448647992749,10.632727814333684,34.232727814333686,0.9875,1.2125,True,False,True,normal_sample,contract_matched,high,2013.0,3.0,78.0,8.0,round_3,second_contract_or_later,False,88.0,76.0,-12.0,66.0,14,1,393.0,0.0,0.0,0.4342857142857143,0.71,4,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,0,0,0,1,0,
