season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank
2025,LA,1407,138.48028617884776,0.0991979127355643,0.5358166189111748,1407,-64.53589956279863,-0.046064168139042565,4.0,6.0,10.0,1.0
2025,NE,1363,146.7522438059712,0.10870536578220089,0.49925925925925924,1297,-45.9687967132788,-0.0355520469553587,2.0,10.0,12.0,2.5
2025,SEA,1337,61.744893035209294,0.0465296857838804,0.4996232102486812,1404,-169.0785127123297,-0.12102971561369343,11.0,1.0,12.0,2.5
2025,JAX,1439,79.24002912364156,0.05541260777877032,0.4783216783216783,1366,-80.29928756740962,-0.05913055049146511,9.0,5.0,14.0,4.0
2025,BUF,1386,164.22068927965404,0.11917321428131643,0.4927431059506531,1255,29.468851961796855,0.02365076401428319,1.0,16.0,17.0,5.0
2025,DET,1394,95.85053169735913,0.0692061600702954,0.48736462093862815,1388,21.466962703875083,0.0155557700752718,8.0,13.0,21.0,6.0
2025,HOU,1436,-4.806504711475738,-0.0033729857624391147,0.4456140350877193,1330,-144.26423684842266,-0.10896090396406545,22.0,2.0,24.0,7.5
2025,DEN,1421,41.57103676836264,0.02948300480025719,0.4624113475177305,1433,-52.64205192286795,-0.036890015362906765,16.0,8.0,24.0,7.5
2025,KC,1379,53.037922525177976,0.038713812062173704,0.4678832116788321,1307,15.549621859014154,0.01197045562664677,13.0,12.0,25.0,9.0
2025,SF,1381,121.14026143997587,0.0882946511953177,0.5094752186588921,1357,36.28166743097746,0.02689523160191064,6.0,20.0,26.0,10.0
2025,PHI,1340,16.064266992968825,0.012060260505231851,0.45345345345345345,1394,-50.739993591739356,-0.03663537443446885,19.0,9.0,28.0,11.0
2025,GB,1317,121.91413912207928,0.09327784171543939,0.4957918898240245,1377,78.5625036136141,0.05734489314862343,5.0,24.0,29.0,12.5
2025,IND,1340,114.45566581479318,0.08579884993612683,0.4955022488755622,1442,45.26243127249266,0.03162993100803121,7.0,22.0,29.0,12.5
2025,LAC,1424,-19.061223425947986,-0.013480356029666185,0.46463932107496464,1281,-49.06376696477448,-0.03851159102415579,23.0,7.0,30.0,14.0
2025,CHI,1452,76.62278700574947,0.05321026875399269,0.4736111111111111,1343,39.14717539976133,0.029257978624634775,10.0,21.0,31.0,16.0
2025,BAL,1303,58.17665292902968,0.04499354441533618,0.48878576952822894,1417,37.39865407304744,0.026523868136913077,12.0,19.0,31.0,16.0
2025,MIN,1271,-90.50892473380675,-0.07177551525282058,0.44885011895321175,1367,-100.21823065033406,-0.07368987547818681,28.0,3.0,31.0,16.0
2025,PIT,1309,48.29620000878624,0.037179522716540604,0.4703618167821401,1433,36.09412385405209,0.02531144730298183,14.0,18.0,32.0,18.0
2025,TB,1420,-2.6808619185686355,-0.0019013205096231457,0.45673758865248226,1318,27.156268355997312,0.020714163505718773,21.0,14.0,35.0,19.5
2025,DAL,1488,147.97553288175655,0.10005107023783405,0.4935767410412441,1411,193.33366848525137,0.13780019136511146,3.0,32.0,35.0,19.5
2025,CLE,1371,-217.25050211223842,-0.15904136318611892,0.3821376281112738,1357,-97.48055342744897,-0.07247624790144905,32.0,4.0,36.0,21.0
2025,ATL,1389,-23.425989981116423,-0.016987664960925616,0.4677302393038434,1371,32.20632084835242,0.023611672176211452,24.0,15.0,39.0,22.0
2025,NO,1399,-134.25844484936346,-0.09638079314383594,0.4414931801866475,1377,-36.89012312297724,-0.027005946649324482,29.0,11.0,40.0,23.0
2025,CIN,1405,45.440399472569,0.03241112658528459,0.492867332382311,1366,134.90770066301064,0.09978380226554041,15.0,29.0,44.0,24.5
2025,NYG,1434,37.63228369349841,0.02629789216876199,0.453529000698812,1401,96.74516255411552,0.06975137891428661,17.0,27.0,44.0,24.5
2025,MIA,1255,8.947620337514138,0.007186843644589669,0.4650602409638554,1352,92.75834877805359,0.06896531507661977,20.0,26.0,46.0,26.0
2025,WAS,1329,32.201641897844105,0.02433986538007869,0.48450491307634164,1404,150.69943872160687,0.10818337309519517,18.0,30.0,48.0,28.0
2025,LV,1263,-194.1711226389907,-0.1549649821540229,0.42857142857142855,1389,34.27380569323907,0.024800148837365463,31.0,17.0,48.0,28.0
2025,CAR,1317,-23.218725988998802,-0.017724218312212825,0.4633587786259542,1320,60.9710231935612,0.0465427657966116,25.0,23.0,48.0,28.0
2025,ARI,1416,-29.530037629296373,-0.020928446229125708,0.4635010630758327,1420,127.84160222700305,0.09079659249076921,26.0,28.0,54.0,30.0
2025,TEN,1347,-142.73948301343157,-0.10652200224882953,0.4171641791044776,1365,87.50699392916607,0.06458080732779783,30.0,25.0,55.0,31.0
2025,NYJ,1336,-71.89188664588626,-0.05401343850179283,0.4567993989481593,1419,169.7705038280604,0.12066133889698678,27.0,31.0,58.0,32.0
