season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,CLE,00-0032392,Austin Hooper,TE,TE,0,0,0,0,0,0,38,345,3,61,0.0,0.0,20.021503306744226,20.021503306744226,55.77150330674422,Austin Hooper,TE,8.25,11.5,4.5,4.5,True,False,TE,True,normal_sample,contract_matched,high,22.0,1.0,-21.0,35.0,Major overpay
2021,CLE,00-0036233,Donovan Peoples-Jones,WR,WR,0,0,0,0,0,0,34,597,3,58,0.0,0.0,25.022869365793994,25.022869365793994,72.372869365794,Donovan Peoples-Jones,WR,0.826652,0.78,0.78,,True,False,WR,True,normal_sample,contract_matched,high,55.0,96.0,41.0,18.0,Major bargain
2021,CLE,00-0032977,Rashard Higgins,WR,WR,0,0,0,0,0,0,24,275,1,47,0.0,0.0,5.273095316000005,5.273095316000005,28.023095316000006,Rashard Higgins,WR,1.1275,2.3775,2.24,2.24,True,False,WR,True,normal_sample,contract_matched,high,97.0,71.0,-26.0,82.5,Major overpay
2021,CLE,00-0031382,Jarvis Landry,WR,WR,0,0,0,1,40,2,52,570,2,87,-4.688111118914094,5.013085333448405,-13.1820960384178,-12.857121823883489,42.39287817611651,Jarvis Landry,WR,14.711765,13.029412,12.5,0.0,True,False,WR,True,normal_sample,contract_matched,high,84.0,8.0,-76.0,102.0,Major overpay
2021,DET,00-0033106,Jared Goff,QB,QB,3245,19,8,35,87,0,0,0,0,0,-25.531083544353343,-13.913521254435182,0.0,-39.444604798788525,10.60539520121148,Jared Goff,QB,10.65,25.65,5.65,5.0,True,False,QB,True,normal_sample,contract_matched,high,27.0,12.0,-15.0,33.0,Major overpay
2021,DET,00-0033948,Jamaal Williams,RB,RB,0,0,0,0,601,3,26,157,0,28,0.0,-3.0968296908927346,1.584870417835191,-1.5119592730575437,51.88804072694246,Jamaal Williams,RB,1.625,2.25,1.0,1.0,True,False,RB,True,normal_sample,contract_matched,high,41.0,32.0,-9.0,45.0,Negative value
2021,DET,00-0036275,D'Andre Swift,RB,RB,0,0,0,0,617,5,62,452,2,78,-0.912519452162087,-26.86820022217472,-7.822526139354126,-35.60324581369093,54.34675418630907,D'Andre Swift,RB,1.940663,0.998133,0.998133,0.998133,True,False,RB,True,normal_sample,contract_matched,high,39.0,27.0,-12.0,50.0,Major overpay
2021,DET,00-0035229,T.J. Hockenson,TE,TE,0,0,0,0,0,0,61,583,4,84,0.0,0.0,5.467852340760338,5.467852340760338,61.86785234076034,T.J. Hockenson,TE,5.580789,2.47193,0.85,2.29693,True,False,TE,True,normal_sample,contract_matched,high,18.0,13.0,-5.0,23.5,Negative value
2021,DET,00-0036963,Amon-Ra St. Brown,WR,WR,0,0,0,0,61,1,90,912,5,119,0.0,5.091692552311541,53.236641804328784,58.328334356640326,147.47833435664032,Amon-Ra St. Brown,WR,0.856315,1.44526,0.66,0.0,True,False,WR,True,normal_sample,contract_matched,high,13.0,85.0,72.0,1.0,Major bargain
2021,DET,00-0032464,Kalif Raymond,WR,WR,0,0,0,0,28,0,48,576,4,71,0.0,1.4138049385510385,17.047283275853175,18.461088214404214,72.66108821440422,Kalif Raymond,WR,0.9875,1.1275,0.99,0.1125,True,False,WR,True,normal_sample,contract_matched,high,54.0,77.0,23.0,30.0,Major bargain
2021,NYG,00-0035710,Daniel Jones,QB,QB,2428,10,7,22,298,2,1,16,0,1,-11.39888125137738,7.627667821375422,0.9808847262756899,-2.790328703726269,43.93967129627373,Daniel Jones,QB,7.174288,3.003096,0.85,2.828096,True,False,QB,True,normal_sample,contract_matched,high,22.0,19.0,-3.0,21.0,Negative value
2021,NYG,00-0032972,Devontae Booker,RB,RB,0,0,0,0,593,2,40,268,1,45,0.0,-13.068403237784468,5.795983729156433,-7.272419508628035,54.777580491371964,Devontae Booker,RB,2.5,3.625,1.5,,True,False,RB,True,normal_sample,contract_matched,high,37.0,20.0,-17.0,55.0,Major overpay
