season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2021,HOU,1365,-154.22940680207435,-0.1137385005915002,0.3709439528023598,1400,48.81948705300588,0.0350714705840559,30.0,26.0,56.0,30.0,141.537636,149.916796,98.386586,32.670162,80,27.0,32.0,3.0,6.0,-3.0,Fair value,21.0
2021,BAL,1524,7.923355640488939,0.0052299377164943,0.4501650165016501,1387,21.720513853187377,0.0157509164997732,16.0,24.0,40.0,22.0,163.832188,208.864612,83.762471,35.835516,91,18.0,10.0,11.0,15.0,-4.0,Negative value,22.0
2021,CHI,1389,-119.05831912397764,-0.0861492902488984,0.4095513748191027,1320,-6.063754257224247,-0.0046288200436826,27.0,17.0,44.0,24.0,163.434586,195.129412,111.724512,60.716149,79,19.0,17.0,9.0,14.0,-5.0,Negative value,23.0
2021,MIA,1442,-85.18418429069692,-0.0594861622141738,0.4029329608938548,1416,-47.28374494700478,-0.0335583711476258,23.0,10.0,33.0,17.0,170.29194,178.603947,111.784229,61.714141999999995,81,11.0,25.0,16.0,22.0,-6.0,Negative value,24.0
2021,ATL,1339,-104.95569608757576,-0.0788547679095234,0.4034560480841472,1428,65.73401540572824,0.0463241828088289,26.0,29.0,55.0,29.0,154.783802,151.93243,87.913647,28.772421,78,22.0,31.0,4.0,11.0,-7.0,Negative value,25.5
2021,IND,1391,54.41508451740899,0.0394312206647891,0.4543478260869565,1365,-43.407799189978554,-0.0319409854230894,11.0,11.0,22.0,8.0,181.611662,216.182997,111.346935,81.582995,80,1.0,8.0,25.0,32.0,-7.0,Negative value,25.5
2021,JAX,1369,-125.89846863525612,-0.0925043854777781,0.4107274063188831,1384,118.71749926816196,0.0863399994677541,29.0,31.0,60.0,32.0,156.675056,202.835835,108.39917,41.070767,83,21.0,11.0,1.0,12.0,-11.0,Major underperformance,27.5
2021,NYG,1379,-171.39306931841375,-0.1251044301594261,0.3897810218978102,1435,3.032924002782077,0.0021253847251451,31.0,20.0,51.0,27.0,165.270893,200.429843,89.936188,50.94256,89,16.0,13.0,6.0,17.0,-11.0,Major underperformance,27.5
2021,LAC,1466,61.16832761781851,0.0419535854717548,0.4567901234567901,1443,48.08063331192963,0.0335290329929774,9.0,25.0,34.0,18.5,178.023289,175.705385,129.380739,80.985905,77,3.0,28.0,14.5,30.0,-15.5,Major underperformance,29.0
2021,CLE,1371,-32.645269000249996,-0.0239510410860234,0.4218635363169479,1381,4.472090049187839,0.0032595408521777,20.0,21.0,41.0,23.0,174.623273,218.012388,115.813914,55.37679,82,6.0,6.0,10.0,27.0,-17.0,Major underperformance,30.0
2021,WAS,1399,-55.468267088126616,-0.0398192872132997,0.43862167982771,1379,60.08766420520196,0.0439237311441534,21.0,28.0,49.0,26.0,172.625133,216.711008,121.953882,62.406344,89,7.0,7.0,7.0,26.0,-19.0,Major underperformance,31.0
2021,NYJ,1363,-99.86198259630184,-0.0736445299382756,0.4122418879056047,1478,138.02333792898645,0.0940213473630697,25.0,32.0,57.0,31.0,171.97839,191.050641,121.996937,86.274993,89,9.0,20.0,2.0,24.0,-22.0,Major underperformance,32.0
2022,PHI,1455,81.3912717806783,0.0564433230101791,0.4646324549237171,1390,-71.2053865673617,-0.0513747377830892,3.0,6.0,9.0,3.0,153.984871,219.318789,78.824486,23.497041,78,25.0,17.0,30.0,8.0,22.0,Strong surplus value,1.0
2022,BUF,1333,118.45076112095803,0.0896674951710507,0.4912944738834216,1308,-76.51416625660852,-0.0586765078654973,2.0,5.0,7.0,1.5,180.911966,267.00885999999997,96.535358,59.748965,78,16.0,3.0,31.5,17.0,14.5,Strong surplus value,2.0
2022,BAL,1361,15.185036283837498,0.0112565131829781,0.4395848776871757,1351,-40.77064801696999,-0.0302902288387592,12.0,11.0,23.0,7.0,177.526926,213.686495,115.094152,57.87987,82,19.0,20.0,26.0,14.0,12.0,Strong surplus value,3.0
2022,NO,1333,-74.0554958828528,-0.0558909402889455,0.4369811320754717,1411,-53.1683862987475,-0.0379232427237856,24.0,9.0,33.0,11.5,162.225477,265.520668,76.738278,24.617855,82,23.0,4.0,21.5,10.0,11.5,Strong surplus value,4.0
2022,SEA,1387,21.78963476504844,0.0158125070863921,0.4542815674891146,1450,7.663504199838037,0.0053144966711775,11.0,23.0,34.0,14.0,158.740071,229.575969,95.659677,28.38174,88,24.0,11.0,19.0,9.0,10.0,Strong surplus value,5.0
