season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank,total_cap_number,total_cash_paid,total_base_salary,total_guaranteed_salary,player_contract_count,cap_cost_rank,cash_paid_rank,performance_score,cost_score,surplus_rank_gap,surplus_tier,surplus_value_rank
2025,MIN,1271,-90.50892473380677,-0.0717755152528205,0.4488501189532117,1367,-100.21823065033406,-0.0736898754781868,28.0,3.0,31.0,16.0,238.804877,330.644444,130.41634,73.625416,78,12.0,2.0,17.0,21.0,-4.0,Negative value,21.0
2025,KC,1379,53.037922525177976,0.0387138120621737,0.4678832116788321,1307,15.549621859014154,0.0119704556266467,13.0,12.0,25.0,9.0,261.876715,318.768299,165.637363,115.92652,84,4.0,3.0,24.0,29.0,-5.0,Negative value,22.0
2025,TEN,1347,-142.73948301343157,-0.1065220022488295,0.4171641791044776,1365,87.50699392916607,0.0645808073277978,30.0,25.0,55.0,31.0,220.020524,249.092528,156.930848,103.981528,83,22.0,27.0,2.0,11.0,-9.0,Negative value,23.0
2025,PIT,1309,48.29620000878624,0.0371795227165406,0.4703618167821401,1433,36.09412385405209,0.0253114473029818,14.0,18.0,32.0,18.0,247.393608,284.822618,157.152693,49.496467,84,8.0,19.0,15.0,25.0,-10.0,Major underperformance,24.0
2025,IND,1340,114.45566581479318,0.0857988499361268,0.4955022488755622,1442,45.26243127249266,0.0316299310080312,7.0,22.0,29.0,12.5,270.34778,294.130044,183.230172,110.731487,88,2.0,12.0,20.5,31.0,-10.5,Major underperformance,25.0
2025,CAR,1317,-23.2187259889988,-0.0177242183122128,0.4633587786259542,1320,60.9710231935612,0.0465427657966116,25.0,23.0,48.0,28.0,230.634058,280.090061,124.280187,86.180026,81,15.0,20.0,5.0,18.0,-13.0,Major underperformance,26.0
2025,ATL,1389,-23.425989981116423,-0.0169876649609256,0.4677302393038434,1371,32.20632084835242,0.0236116721762114,24.0,15.0,39.0,22.0,253.484185,262.204027,153.799693,87.522831,87,7.0,26.0,11.0,26.0,-15.0,Major underperformance,27.5
2025,CHI,1452,76.62278700574947,0.0532102687539926,0.4736111111111111,1343,39.14717539976133,0.0292579786246347,10.0,21.0,31.0,16.0,270.883472,307.644596,183.474399,118.514959,82,1.0,6.0,17.0,32.0,-15.0,Major underperformance,27.5
2025,NYG,1434,37.63228369349841,0.0262978921687619,0.453529000698812,1401,96.74516255411552,0.0697513789142866,17.0,27.0,44.0,24.5,253.487985,299.721872,146.896013,75.746528,87,6.0,9.0,8.5,27.0,-18.5,Major underperformance,29.0
2025,WAS,1329,32.201641897844105,0.0243398653800786,0.4845049130763416,1404,150.69943872160687,0.1081833730951951,18.0,30.0,48.0,28.0,246.328796,288.010308,152.237294,82.808992,85,9.0,15.0,5.0,24.0,-19.0,Major underperformance,30.0
2025,CIN,1405,45.440399472569,0.0324111265852845,0.492867332382311,1366,134.90770066301064,0.0997838022655404,15.0,29.0,44.0,24.5,256.886838,287.953894,157.131021,57.936254,78,5.0,16.0,8.5,28.0,-19.5,Major underperformance,31.0
2025,ARI,1416,-29.530037629296373,-0.0209284462291257,0.4635010630758327,1420,127.84160222700304,0.0907965924907692,26.0,28.0,54.0,30.0,262.299165,266.952634,166.860341,109.708845,91,3.0,25.0,3.0,30.0,-27.0,Major underperformance,32.0
