season,team,offensive_plays,offensive_epa_total,offensive_epa_per_play,offensive_success_rate,defensive_plays,defensive_epa_allowed_total,defensive_epa_allowed_per_play,offense_rank,defense_rank,overall_efficiency_rank,overall_rank
2021,ARI,1454,41.380283440407894,0.028636874353223457,0.45467128027681664,1368,-68.11647545523128,-0.050085643717081824,13.0,6.0,19.0,6.0
2021,ATL,1339,-104.95569608757577,-0.07885476790952349,0.40345604808414726,1428,65.73401540572824,0.046324182808828926,26.0,29.0,55.0,29.0
2021,BAL,1524,7.923355640488939,0.00522993771649435,0.45016501650165014,1387,21.720513853187377,0.015750916499773296,16.0,24.0,40.0,22.0
2021,BUF,1457,75.89694025712836,0.05248751055126443,0.46680497925311204,1357,-151.93030238038057,-0.11245766275379761,4.0,1.0,5.0,1.0
2021,CAR,1427,-183.0780953071643,-0.12874690246636025,0.4022503516174402,1379,-68.15885732021162,-0.04986017360659226,32.0,7.0,39.0,21.0
2021,CHI,1389,-119.05831912397764,-0.08614929024889843,0.40955137481910275,1320,-6.063754257224247,-0.004628820043682631,27.0,17.0,44.0,24.0
2021,CIN,1383,43.03257690845301,0.03136485197409111,0.4402332361516035,1424,-50.73589264012703,-0.035779896079074065,12.0,9.0,21.0,7.0
2021,CLE,1371,-32.645269000249996,-0.023951041086023476,0.4218635363169479,1381,4.472090049187839,0.0032595408521777255,20.0,21.0,41.0,23.0
2021,DAL,1521,75.47353523093685,0.0499493945936048,0.4559894109861019,1459,-126.5523594697118,-0.08715727236206047,6.0,4.0,10.0,3.0
2021,DEN,1340,14.038920487062393,0.010516045308660968,0.43745318352059925,1342,1.5258661974184067,0.0011472678176078245,15.0,19.0,34.0,18.5
2021,DET,1397,-85.23938992296762,-0.0613233021028544,0.4093525179856115,1398,84.71394655733545,0.06103310270701401,24.0,30.0,54.0,28.0
2021,GB,1384,122.20676514419964,0.08894233271048009,0.47671033478893743,1337,18.834044547261946,0.014160935749821012,2.0,22.0,24.0,10.5
2021,HOU,1365,-154.22940680207435,-0.11373850059150026,0.37094395280235987,1400,48.81948705300588,0.03507147058405595,30.0,26.0,56.0,30.0
2021,IND,1391,54.41508451740899,0.03943122066478912,0.4543478260869565,1365,-43.407799189978554,-0.031940985423089444,11.0,11.0,22.0,8.0
2021,JAX,1369,-125.89846863525611,-0.09250438547777819,0.41072740631888316,1384,118.71749926816196,0.08633999946775416,29.0,31.0,60.0,32.0
2021,KC,1459,162.5750787173431,0.11219812195813879,0.4968944099378882,1387,20.08324304042712,0.014553074666976175,1.0,23.0,24.0,10.5
2021,LA,1361,69.32154814631988,0.05123543839343672,0.4538063562453806,1455,-41.403199694827194,-0.028632918184527796,5.0,12.0,17.0,5.0
2021,LAC,1466,61.16832761781851,0.04195358547175481,0.4567901234567901,1443,48.08063331192963,0.03352903299297743,9.0,25.0,34.0,18.5
2021,LV,1439,-17.31777373167215,-0.012110331280889616,0.44125874125874126,1450,58.40970418805877,0.04050603619144159,19.0,27.0,46.0,25.0
2021,MIA,1442,-85.18418429069692,-0.05948616221417383,0.4029329608938548,1416,-47.28374494700478,-0.03355837114762582,23.0,10.0,33.0,17.0
2021,MIN,1440,-7.317232825615129,-0.005102672821209992,0.40585774058577406,1496,-17.89768818035856,-0.012052315272968728,18.0,14.0,32.0,15.5
2021,NE,1374,59.890913962650835,0.04384400729330222,0.4780380673499268,1353,-121.03913076073908,-0.09005887705412134,8.0,3.0,11.0,4.0
2021,NO,1390,-120.90920674587427,-0.08774253029453866,0.4005805515239477,1394,-153.64310708006815,-0.11061418796261206,28.0,2.0,30.0,14.0
2021,NYG,1379,-171.39306931841375,-0.1251044301594261,0.3897810218978102,1435,3.032924002782077,0.002125384725145114,31.0,20.0,51.0,27.0
2021,NYJ,1363,-99.86198259630183,-0.07364452993827568,0.41224188790560473,1478,138.02333792898645,0.09402134736306979,25.0,32.0,57.0,31.0
2021,PHI,1388,54.77570113689845,0.03960643610766337,0.45770065075921906,1414,-15.11690901404199,-0.010782388740400849,10.0,15.0,25.0,12.5
2021,PIT,1469,-86.29449594457839,-0.05918689708132948,0.3950617283950617,1481,-33.77785753821936,-0.022900242398792785,22.0,13.0,35.0,20.0
2021,SEA,1275,20.990486287172118,0.0165670767854555,0.43804262036306235,1545,-6.158665520251131,-0.00400954786474683,14.0,18.0,32.0,15.5
2021,SF,1357,63.209245185366676,0.04689113144315035,0.4473293768545994,1374,-10.638307957732223,-0.0077879267626150975,7.0,16.0,23.0,9.0
2021,TB,1467,109.18138324284872,0.07488435064667265,0.47599451303155005,1440,-78.92711310357197,-0.05511669909467316,3.0,5.0,8.0,2.0
2021,TEN,1470,2.4241853126181034,0.0016592644165763883,0.44216290212183434,1380,-62.35033128441595,-0.04544484787493874,17.0,8.0,25.0,12.5
2021,WAS,1399,-55.468267088126616,-0.039819287213299796,0.43862167982771,1379,60.08766420520196,0.04392373114415348,21.0,28.0,49.0,26.0
2022,ARI,1487,-133.25947468200096,-0.09016202617185451,0.39174560216508797,1401,-2.0749551534282853,-0.0014895586169621573,30.0,21.0,51.0,31.0
2022,ATL,1322,-2.9710131105201887,-0.002264491700091607,0.4489329268292683,1389,26.66965136404264,0.019297866399451982,14.0,29.0,43.0,25.5
2022,BAL,1361,15.185036283837498,0.01125651318297813,0.4395848776871757,1351,-40.77064801696999,-0.030290228838759283,12.0,11.0,23.0,7.0
2022,BUF,1333,118.45076112095803,0.08966749517105074,0.4912944738834216,1308,-76.51416625660852,-0.05867650786549733,2.0,5.0,7.0,1.5
2022,CAR,1304,-45.74314822536958,-0.035241254410916474,0.41987673343605547,1456,-22.054664986858082,-0.015262743935541926,20.0,17.0,37.0,18.5
2022,CHI,1303,-57.096725732185085,-0.04395436930884148,0.40030792917628943,1352,98.96568123863987,0.07391014282198646,21.0,32.0,53.0,32.0
2022,CIN,1371,55.325260410023695,0.040710272560723834,0.45695364238410596,1298,-60.73493035663881,-0.04693580398503772,5.0,7.0,12.0,4.0
2022,CLE,1434,-7.326313224977618,-0.005126881193126395,0.4345696291112666,1371,12.42817130647486,0.009145085582395041,15.0,24.0,39.0,21.0
2022,DAL,1444,24.002782418549206,0.016726677643588296,0.4425087108013937,1456,-122.37869223876329,-0.08451567143561001,10.0,3.0,13.0,5.0
2022,DEN,1436,-115.8051769062818,-0.08103931204078503,0.3813855843247026,1434,-25.499600254375352,-0.017907022650544488,28.0,16.0,44.0,27.5
2022,DET,1421,67.35490212004268,0.04773557910704655,0.4500354358610914,1406,43.96389394254268,0.031425227978944016,4.0,30.0,34.0,14.0
2022,GB,1354,-7.228574041938515,-0.005382408072925179,0.45122859270290394,1296,-2.101357867318729,-0.0016289595870687822,16.0,20.0,36.0,17.0
2022,HOU,1335,-174.03929988391383,-0.13066013504798335,0.3783783783783784,1476,-27.90313521887996,-0.019085591804979454,31.0,13.0,44.0,27.5
2022,IND,1427,-198.97484109988991,-0.14041978906131963,0.40296400846859565,1414,-47.64923320698687,-0.03386583738947183,32.0,10.0,42.0,24.0
2022,JAX,1389,40.272229532761244,0.029182775023740032,0.45507246376811594,1425,-30.18161088850328,-0.021299654826043245,7.0,12.0,19.0,6.0
2022,KC,1411,171.10055573791342,0.12204033932804095,0.4971469329529244,1428,13.15342989446355,0.009262978798917992,1.0,25.0,26.0,8.0
2022,LA,1311,-99.37011129335552,-0.07637979346145697,0.404304381245196,1348,-3.438418218587269,-0.0025640702599457636,27.0,19.0,46.0,30.0
2022,LAC,1483,-27.15859618159242,-0.018387675139872998,0.42044685172647256,1318,-23.54531313837201,-0.01801477669347514,19.0,15.0,34.0,14.0
2022,LV,1380,-1.5431895589999876,-0.0011231365058224072,0.42867540029112083,1403,21.91514311846347,0.015743637297746745,13.0,28.0,41.0,23.0
2022,MIA,1327,25.52525618326362,0.019337315290351226,0.43257575757575756,1430,16.441643929603778,0.011578622485636464,9.0,26.0,35.0,16.0
2022,MIN,1487,-22.915131102975316,-0.015493665384026583,0.4354293441514537,1446,2.7800191459633434,0.0019345992665019786,17.0,22.0,39.0,21.0
2022,NE,1330,-95.81042834179583,-0.07241906904141786,0.4013605442176871,1426,-125.83183252529963,-0.08886428850656754,26.0,2.0,28.0,9.0
2022,NO,1333,-74.0554958828528,-0.055890940288945506,0.4369811320754717,1411,-53.1683862987475,-0.037923242723785666,24.0,9.0,33.0,11.5
2022,NYG,1429,33.83334549273659,0.023792788672810542,0.43952180028129395,1420,53.11071156417283,0.03766717132210839,8.0,31.0,39.0,21.0
2022,NYJ,1404,-123.64940118581345,-0.08863756357405982,0.3942652329749104,1408,-86.50944200142182,-0.061792458572444156,29.0,4.0,33.0,11.5
2022,PHI,1455,81.3912717806783,0.056443323010179125,0.4646324549237171,1390,-71.2053865673617,-0.05137473778308925,3.0,6.0,9.0,3.0
2022,PIT,1438,-24.468140442808156,-0.017122561541503257,0.4366689993002099,1330,15.952981257409787,0.012067308061580777,18.0,27.0,45.0,29.0
2022,SEA,1387,21.78963476504844,0.015812507086392192,0.45428156748911463,1450,7.663504199838037,0.005314496671177557,11.0,23.0,34.0,14.0
2022,SF,1363,53.34043216624421,0.03936563259501418,0.45904059040590406,1347,-151.94528620160042,-0.1135614994032888,6.0,1.0,7.0,1.5
2022,TB,1499,-83.12180333275015,-0.05567434918469534,0.42263898191560617,1409,-26.043525712506536,-0.018629131410948883,23.0,14.0,37.0,18.5
2022,TEN,1327,-86.9986096731687,-0.06615863853472904,0.417490494296578,1442,-13.208636531312766,-0.009191813870085433,25.0,18.0,43.0,25.5
2022,WAS,1473,-79.6308342695192,-0.054355518272709354,0.40341296928327647,1319,-53.8804494817261,-0.041130114108187864,22.0,8.0,30.0,10.0
2023,ARI,1413,-60.33979589007582,-0.043007694861066155,0.3977191732002851,1370,84.88932338961716,0.06228123506208156,18.0,31.0,49.0,29.5
2023,ATL,1424,-123.02435513967157,-0.08694300716584563,0.40353356890459363,1423,-61.994324985413904,-0.04381224380594622,27.0,13.0,40.0,24.5
2023,BAL,1412,69.4735670777705,0.04958855608691684,0.4725196288365453,1461,-164.16013655503244,-0.11282483612029721,6.0,2.0,8.0,2.0
2023,BUF,1421,87.38964592387728,0.061890684082066064,0.4681303116147309,1354,-70.14442526746119,-0.052113243140758686,4.0,11.0,15.0,4.0
