season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,position_final,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier
2021,BAL,00-0035993,Tyler Huntley,QB,QB,1081,3,4,18,294,2,0,0,0,0,-30.697212040843034,15.720750949055612,0.0,-14.976461091787423,10.033538908212579,Tyler Huntley,QB,0.78,0.78,0.78,0.0,QB,28.0,36.0,8.0,12.0,Positive value
2021,BAL,00-0036331,Devin Duvernay,WR,WR,0,0,0,0,50,0,33,272,2,47,0.0,2.461163314874284,7.448230200625511,9.909393515499795,40.259393515499795,Devin Duvernay,WR,1.039958,0.817992,0.817992,0.0,WR,86.0,74.0,-12.0,67.5,Major overpay
2021,BAL,00-0036550,Rashod Bateman,WR,WR,0,0,0,0,0,0,46,515,1,68,0.0,0.0,14.884151672314442,14.884151672314442,55.134151672314445,Rashod Bateman,WR,2.290802,7.183208,0.66,0.66,WR,67.0,51.0,-16.0,72.5,Major overpay
2021,BUF,00-0027685,Emmanuel Sanders,WR,WR,0,0,0,0,31,0,42,626,4,72,0.0,2.025341064610984,24.830480036758914,26.855821101369898,82.20582110136989,Emmanuel Sanders,WR,4.616176,6.0,2.8,3.15,WR,46.0,30.0,-16.0,72.5,Major overpay
2021,BUF,00-0029000,Cole Beasley,WR,WR,0,0,0,0,0,0,82,693,1,112,-0.47759081999538466,0.0,6.190129305082187,5.712538485086802,63.8625384850868,Cole Beasley,WR,7.570588,5.9,4.7,0.5,WR,60.0,16.0,-44.0,90.0,Major overpay
2021,BUF,00-0031588,Stefon Diggs,WR,WR,0,0,0,1,0,0,103,1225,10,164,-0.836327348719351,0.0,31.989855666641777,31.153528317922426,147.90352831792242,Stefon Diggs,WR,6.378954,13.755882,0.99,0.0,WR,12.0,18.0,6.0,46.5,Positive value
2021,BUF,00-0034857,Josh Allen,QB,QB,4407,36,15,26,763,6,0,0,0,0,79.99285779358213,55.64671763407837,1.053,136.6925754276605,272.4125754276605,Josh Allen,QB,10.202337,20.0,0.92,3.538595,QB,1.0,15.0,14.0,5.0,Strong bargain
2021,BUF,00-0035250,Devin Singletary,RB,RB,0,0,0,0,870,7,40,228,1,50,0.0,-3.8201483953744173,-2.309366936673504,-6.129515332047921,82.77048466795208,Devin Singletary,RB,1.108956,0.85,0.85,0.0,RB,18.0,41.0,23.0,12.0,Major bargain
2021,BUF,00-0035689,Dawson Knox,TE,TE,0,0,0,0,4,0,49,587,9,71,1.053,0.0,33.19093861678055,34.24393861678055,103.04393861678055,Dawson Knox,TE,1.085545,0.88,0.85,0.0,TE,8.0,30.0,22.0,1.5,Major bargain
2021,BUF,00-0036196,Gabe Davis,WR,WR,0,0,0,0,0,0,35,549,6,63,0.0,0.0,20.69838585724808,20.69838585724808,74.89838585724809,Gabriel Davis,WR,0.954843,0.78,0.78,0.0,WR,52.0,80.0,28.0,27.0,Major bargain
