season,player_name,team,position_final,production_score,player_surplus_gap,player_surplus_rank,cap_number,draft_year,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,overall_confidence,review_group,watchlist_note
2025,Kyren Williams,LA,RB,138.11627437536984,18.0,9.0,2.465102,2022.0,5.0,164.0,3.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jaxson Dart,NYG,QB,126.86347932671816,18.0,3.0,3.086898,2025.0,1.0,25.0,0.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Romeo Doubs,GB,WR,102.59547256009007,18.0,20.0,3.576979,2022.0,4.0,132.0,3.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Tucker Kraft,GB,TE,89.04276139789144,18.0,3.0,1.510345,2023.0,3.0,78.0,2.0,round_3,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Xavier Hutchinson,HOU,WR,54.934920907799494,18.0,20.0,1.070925,2023.0,6.0,205.0,2.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Kimani Vidal,LAC,RB,41.599666600415354,18.0,9.0,0.693333,2024.0,6.0,181.0,1.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jameson Williams,DET,WR,148.44272256089278,17.0,22.0,7.42181,2022.0,1.0,12.0,3.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Colston Loveland,CHI,TE,114.68358338262718,17.0,4.0,4.84291,2025.0,1.0,10.0,0.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,TreVeyon Henderson,NE,RB,106.4633030216752,17.0,11.0,2.026047,2025.0,2.0,38.0,0.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Ladd McConkey,LAC,WR,81.18522750449289,17.0,22.0,2.271633,2024.0,2.0,34.0,1.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Chris Rodriguez Jr.,WAS,RB,48.14746537129395,17.0,11.0,1.03,2023.0,6.0,193.0,2.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Tetairoa McMillan,CAR,WR,114.48509608821286,16.0,24.0,5.078253,2025.0,1.0,8.0,0.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Harold Fannin Jr.,CLE,TE,75.82929365714418,16.0,5.0,1.225979,2025.0,3.0,67.0,0.0,round_3,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,James Cook,BUF,RB,160.09799770077868,15.0,13.0,3.435375,2022.0,2.0,63.0,3.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Andrei Iosivas,CIN,WR,48.228240934587234,15.0,25.0,1.069848,2023.0,6.0,206.0,2.0,rounds_6_7,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Brenton Strange,JAX,TE,78.8647508115372,14.0,6.0,1.667548,2023.0,2.0,61.0,2.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Blake Corum,LA,RB,69.16041979973089,14.0,16.0,1.309946,2024.0,3.0,83.0,1.0,round_3,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jahmyr Gibbs,DET,RB,180.2834518911758,13.0,17.0,4.866856,2023.0,1.0,12.0,2.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,DeVonta Smith,PHI,WR,136.01954212163125,13.0,26.0,7.52451,2021.0,1.0,10.0,4.0,round_1,possible_fifth_year_option,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Christian Watson,GB,WR,89.5377431172806,13.0,26.0,3.336665,2022.0,2.0,34.0,3.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Emeka Egbuka,TB,WR,86.5614994226421,13.0,26.0,3.304133,2025.0,1.0,19.0,0.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Zach Charbonnet,SEA,RB,84.2173228998953,13.0,17.0,1.875294,2023.0,2.0,52.0,2.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Trey McBride,ARI,TE,199.16636689027308,12.0,7.0,9.594393,2022.0,2.0,55.0,3.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Caleb Williams,CHI,QB,159.06323686768334,12.0,4.0,8.974104,2024.0,1.0,1.0,1.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Quentin Johnston,LAC,WR,97.3900605425204,12.0,29.0,3.869669,2023.0,1.0,21.0,2.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Dalton Kincaid,BUF,TE,92.68840316268242,12.0,7.0,3.66192,2023.0,1.0,25.0,2.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Sam LaPorta,DET,TE,79.8778423127509,12.0,7.0,2.581636,2023.0,2.0,34.0,2.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Mac Jones,SF,QB,73.92734438676331,12.0,4.0,2.558,2021.0,1.0,15.0,4.0,round_1,possible_fifth_year_option,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Theo Johnson,NYG,TE,61.48237116280326,12.0,7.0,1.167859,2024.0,4.0,107.0,1.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Bijan Robinson,ATL,RB,181.98520651349455,11.0,20.0,5.988694,2023.0,1.0,8.0,2.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Brock Bowers,LV,TE,93.29312266775398,10.0,11.0,4.122451,2024.0,1.0,13.0,1.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jake Ferguson,DAL,TE,92.9158242648256,10.0,11.0,3.98222,2022.0,4.0,129.0,3.0,rounds_4_5,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Tyler Warren,IND,TE,86.21768706134586,9.0,15.0,3.811027,2025.0,1.0,14.0,0.0,round_1,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
2025,Jayden Higgins,HOU,WR,71.25768278479529,9.0,30.0,2.127422,2025.0,2.0,34.0,0.0,round_2,rookie_contract,True,high,2025_watchlist,Matches historical candidate profile; no next-year outcome yet.
