season,group,players,appeared_next_year,hits,avg_surplus_gap,avg_next_surplus_gap,avg_production_score,avg_next_production_score,appearance_rate,hit_rate
2021,model_candidates,68,54,35,24.08823529411765,8.722222222222221,111.94127315324091,105.37661487681662,0.7941176470588235,0.5147058823529411
2021,not_flagged_baseline,52,34,26,-14.365384615384615,-1.588235294117647,40.708327733436334,75.67368012521595,0.6538461538461539,0.5
2022,model_candidates,58,51,34,22.70689655172414,7.490196078431373,107.04318463944081,98.07016064576054,0.8793103448275862,0.5862068965517241
2022,not_flagged_baseline,50,28,17,-9.04,-6.071428571428571,47.812502051019855,70.6459898170041,0.56,0.34
2023,model_candidates,59,55,39,26.440677966101696,8.745454545454546,106.41889118519765,94.84621057003311,0.9322033898305084,0.6610169491525424
2023,not_flagged_baseline,56,35,27,-11.053571428571429,-4.257142857142857,35.334299110279254,91.8261765004428,0.625,0.48214285714285715
2024,model_candidates,67,55,38,23.91044776119403,8.654545454545454,112.10270879656916,99.47305101217248,0.8208955223880597,0.5671641791044776
2024,not_flagged_baseline,50,38,29,-10.4,2.8421052631578947,54.191517189132846,90.4094108623447,0.76,0.58
