group_model,position_final,players_model,appeared_next_year_model,hits_model,avg_surplus_gap_model,avg_next_surplus_gap_model,avg_production_score_model,avg_next_production_score_model,appearance_rate_model,hit_rate_model,group_baseline,players_baseline,appeared_next_year_baseline,hits_baseline,avg_surplus_gap_baseline,avg_next_surplus_gap_baseline,avg_production_score_baseline,avg_next_production_score_baseline,appearance_rate_baseline,hit_rate_baseline,hit_rate_lift,appearance_rate_lift,next_surplus_gap_lift
model_candidates,QB,29,27,18,15.620689655172415,6.518518518518518,159.87286393273828,133.13162454481812,0.9310344827586207,0.6206896551724138,rookie_contract_baseline,69,57,38,3.8260869565217392,2.8421052631578947,81.39808982836561,110.04335119927772,0.8260869565217391,0.5507246376811594,0.06996501749125439,0.10494752623688153,3.6764132553606235
model_candidates,RB,64,53,32,19.109375,4.547169811320755,89.15223937333138,78.10134954971063,0.828125,0.5,rookie_contract_baseline,124,91,60,4.67741935483871,0.8351648351648352,69.01603020811751,76.70255875994638,0.7338709677419355,0.4838709677419355,0.016129032258064502,0.0942540322580645,3.7120049761559195
model_candidates,TE,33,29,19,15.272727272727273,4.275862068965517,87.76907485735235,77.77331581424124,0.8787878787878788,0.5757575757575758,rookie_contract_baseline,64,49,36,5.703125,3.6530612244897958,66.89568517905023,74.81139065120564,0.765625,0.5625,0.013257575757575801,0.11316287878787878,0.6228008444757211
model_candidates,WR,126,106,77,31.246031746031747,11.971698113207546,114.0608849886468,107.45399279099475,0.8412698412698413,0.6111111111111112,rookie_contract_baseline,203,153,111,12.660098522167488,7.372549019607843,90.39449414632361,102.36457127645895,0.7536945812807881,0.5467980295566502,0.06431308155446092,0.08757525998905313,4.599149093599704
