group,players,appeared_next_year,hits,avg_candidate_surplus_gap,avg_next_surplus_gap,avg_candidate_production_score,avg_next_production_score,appearance_rate,hit_rate
model_candidates,252,215,146,24.273809523809526,8.418604651162791,109.5639180666855,99.43941759675903,0.8531746031746031,0.5793650793650794
not_flagged_baseline,208,135,99,-11.240384615384615,-1.962962962962963,44.21035939577867,82.96641947717076,0.6490384615384616,0.47596153846153844
