threshold,group,position_final,players,appeared_next_year,hits,avg_surplus_gap,avg_next_surplus_gap,avg_production_score,avg_next_production_score,appearance_rate,hit_rate
0,model_candidates,QB,42,37,23,11.404761904761905,4.621621621621622,125.14856612718677,116.80034638292568,0.8809523809523809,0.5476190476190477
0,model_candidates,RB,81,64,39,15.555555555555555,3.265625,81.96489852549475,76.39158956074938,0.7901234567901234,0.48148148148148145
0,model_candidates,TE,44,36,25,11.886363636363637,4.805555555555555,77.18085958588107,75.07701460321314,0.8181818181818182,0.5681818181818182
0,model_candidates,WR,137,115,81,28.94160583941606,10.591304347826087,110.7962793714134,105.94544206567568,0.8394160583941606,0.5912408759124088
0,not_flagged_baseline,QB,27,20,15,-7.962962962962963,-0.45,13.341793363532725,97.542910109529,0.7407407407407407,0.5555555555555556
0,not_flagged_baseline,RB,43,27,21,-15.813953488372093,-4.925925925925926,44.62397593584876,77.43967093582079,0.627906976744186,0.4883720930232558
0,not_flagged_baseline,TE,20,13,11,-7.9,0.46153846153846156,44.26830148402242,74.07581663026177,0.65,0.55
0,not_flagged_baseline,WR,66,38,30,-21.136363636363637,-2.3684210526315788,48.04533390636451,91.52772546698722,0.5757575757575758,0.45454545454545453
3,model_candidates,QB,35,32,21,13.542857142857143,5.40625,149.55135244607612,131.9203384547377,0.9142857142857143,0.6
3,model_candidates,RB,72,59,35,17.375,3.559322033898305,85.37164225755483,75.47056827561056,0.8194444444444444,0.4861111111111111
3,model_candidates,TE,36,31,20,14.305555555555555,3.5483870967741935,85.45230221793658,76.5407609065418,0.8611111111111112,0.5555555555555556
3,model_candidates,WR,131,111,79,30.198473282442748,11.324324324324325,113.24477548709937,106.94455892750952,0.8473282442748091,0.6030534351145038
3,not_flagged_baseline,QB,34,25,17,-6.176470588235294,-0.44,11.24031948660481,82.04080751228895,0.7352941176470589,0.5
3,not_flagged_baseline,RB,52,32,25,-12.903846153846153,-4.1875,46.36979813966583,78.9740412154406,0.6153846153846154,0.4807692307692308
3,not_flagged_baseline,TE,28,18,16,-5.357142857142857,3.8333333333333335,43.03717755762494,71.83303076701557,0.6428571428571429,0.5714285714285714
3,not_flagged_baseline,WR,72,42,32,-19.25,-3.0714285714285716,48.81967670685662,90.26031819868244,0.5833333333333334,0.4444444444444444
5,model_candidates,QB,29,27,18,15.620689655172415,6.518518518518518,159.87286393273828,133.13162454481812,0.9310344827586207,0.6206896551724138
5,model_candidates,RB,64,53,32,19.109375,4.547169811320755,89.15223937333138,78.10134954971063,0.828125,0.5
5,model_candidates,TE,33,29,19,15.272727272727273,4.275862068965517,87.76907485735235,77.77331581424124,0.8787878787878788,0.5757575757575758
5,model_candidates,WR,126,106,77,31.246031746031747,11.971698113207546,114.0608849886468,107.45399279099475,0.8412698412698413,0.6111111111111112
5,not_flagged_baseline,QB,40,30,20,-4.725,-0.4666666666666667,24.503878602695433,89.26390518829136,0.75,0.5
5,not_flagged_baseline,RB,60,38,28,-10.716666666666667,-4.342105263157895,47.537407098556045,74.75161371106468,0.6333333333333333,0.4666666666666667
5,not_flagged_baseline,TE,31,20,17,-4.483870967741935,2.75,44.675625198922184,70.516599164804,0.6451612903225806,0.5483870967741935
5,not_flagged_baseline,WR,77,47,34,-17.753246753246753,-3.0,51.66767276797656,90.8863014777186,0.6103896103896104,0.44155844155844154
10,model_candidates,QB,24,23,16,17.25,7.6521739130434785,177.2580196433979,147.98848715964974,0.9583333333333334,0.6666666666666666
10,model_candidates,RB,49,41,23,22.877551020408163,4.170731707317073,94.83913910987,74.89486364645745,0.8367346938775511,0.46938775510204084
10,model_candidates,TE,27,24,16,17.074074074074073,3.9166666666666665,91.45290180486624,78.12258688941074,0.8888888888888888,0.5925925925925926
10,model_candidates,WR,114,95,69,33.833333333333336,12.473684210526315,117.04544467338977,107.40644850620369,0.8333333333333334,0.6052631578947368
10,not_flagged_baseline,QB,45,34,22,-3.3333333333333335,-0.4117647058823529,30.27279392701507,84.37458275549666,0.7555555555555555,0.4888888888888889
10,not_flagged_baseline,RB,75,50,37,-7.213333333333333,-1.9,52.14493239230588,78.18486875300731,0.6666666666666666,0.49333333333333335
10,not_flagged_baseline,TE,37,25,20,-2.5945945945945947,3.4,48.9755541277791,71.63264226252872,0.6756756756756757,0.5405405405405406
