season,player_name,team,position_final,cap_number,production_score,total_epa,production_rank_position,cost_rank_position,player_surplus_gap,player_value_tier
2021,Damien Harris,NE,RB,1.071534,109.99397894930628,7.443978949306262,9.0,44.0,35.0,Major bargain
2023,Jaylen Warren,PIT,RB,0.874,67.4885129660594,-17.461487033940593,23.0,57.0,34.0,Major bargain
2024,Chase Brown,CIN,RB,0.986539,119.01326256621005,5.013262566210027,10.0,44.0,34.0,Major bargain
2023,Brock Purdy,SF,QB,0.889253,244.18105106005572,155.18105106005575,2.0,36.0,34.0,Major bargain
2025,Zay Flowers,BAL,WR,3.82812,152.0338582026944,48.883858202694384,7.0,41.0,34.0,Major bargain
2025,De'Von Achane,MIA,RB,1.482941,148.46097509414986,3.8109750941498586,6.0,39.0,33.0,Major bargain
2022,Jalen Hurts,PHI,QB,1.64323,257.5234299624754,121.0134299624754,3.0,36.0,33.0,Major bargain
2021,Tony Pollard,DAL,RB,1.017582,88.31753346893544,19.767533468935422,15.0,48.0,33.0,Major bargain
2025,Jalen Coker,CAR,WR,0.811667,58.80575627593813,21.855756275938127,56.0,88.0,32.0,Major bargain
2025,Tre Tucker,LV,WR,1.446568,87.9493380499473,21.349338049947292,33.0,65.0,32.0,Major bargain
2022,Tony Pollard,DAL,RB,1.132582,125.41185955948995,10.761859559489976,6.0,38.0,32.0,Major bargain
2021,Elijah Mitchell,SF,RB,0.705893,66.36638841605983,-11.383611583940162,29.0,61.0,32.0,Major bargain
2025,Jacory Croskey-Merritt,WAS,RB,0.866357,64.4034335730453,-5.496566426954698,28.0,60.0,32.0,Major bargain
2024,Kareem Hunt,KC,RB,0.820833,77.11560049856216,5.165600498562158,23.0,54.0,31.0,Major bargain
2021,James Robinson,JAX,RB,0.781666,66.45900719334466,-14.74099280665535,28.0,59.0,31.0,Major bargain
2024,De'Von Achane,MIA,RB,1.235784,143.032346464893,12.582346464893014,7.0,37.0,30.0,Major bargain
2025,Kyle Monangai,CHI,RB,0.872035,63.25449328940423,-3.595506710595779,29.0,59.0,30.0,Major bargain
2022,Jerick McKinnon,KC,RB,1.0475,97.84096081309198,13.69096081309198,11.0,40.5,29.5,Major bargain
2023,Jaleel McLaughlin,DEN,RB,0.755,53.10041184804706,7.850411848047056,29.0,58.0,29.0,Major bargain
2024,Kyren Williams,LA,RB,1.062602,104.09511234591795,-26.454887654082032,12.0,41.0,29.0,Major bargain
2022,Rhamondre Stevenson,NE,RB,1.012265,86.95510883853761,-21.344891161462385,15.0,44.0,29.0,Major bargain
2023,Keaton Mitchell,BAL,RB,0.622667,52.69475108451805,19.994751084518057,31.0,60.0,29.0,Major bargain
2021,Jonathan Taylor,IND,RB,1.779353,217.25242240792136,38.702422407921354,1.0,29.0,28.0,Major bargain
2024,Brock Purdy,SF,QB,1.004253,175.04732622041067,97.00732622041068,10.0,38.0,28.0,Major bargain
2021,Kenneth Gainwell,PHI,RB,0.743881,60.614565311366285,7.164565311366286,33.0,60.0,27.0,Major bargain
2023,James Cook,BUF,RB,1.325469,116.41696744100445,9.066967441004438,6.0,33.0,27.0,Major bargain
2021,AJ Dillon,GB,RB,1.201325,108.49296670556652,23.192966705566505,10.0,37.0,27.0,Major bargain
2021,James Conner,ARI,RB,1.75,141.07637287104666,21.47637287104667,3.0,30.0,27.0,Major bargain
2022,Isiah Pacheco,KC,RB,0.724777,67.72539136382031,1.4753913638202985,25.0,52.0,27.0,Major bargain
2023,Jake Ferguson,DAL,TE,1.04622,103.55242731869888,32.75242731869887,6.0,32.0,26.0,Major bargain
2021,Devonta Freeman,BAL,RB,0.802778,63.00042632073708,-1.7995736792629249,32.0,58.0,26.0,Major bargain
2021,Darrel Williams,KC,RB,1.594118,111.7968737673658,25.54687376736582,8.0,34.0,26.0,Major bargain
2023,Rachaad White,TB,RB,1.165909,98.18155096958009,-21.768449030419916,12.0,38.0,26.0,Major bargain
2025,AJ Barner,SEA,TE,1.148777,95.82583467247532,35.175834672475304,10.0,36.0,26.0,Major bargain
2024,Jonnu Smith,MIA,TE,2.11,148.21871623266173,58.068716232661735,2.0,27.0,25.0,Major bargain
2024,Trey McBride,ARI,TE,1.718089,143.822449749685,49.672449749685,3.0,28.0,25.0,Major bargain
2025,Tyrone Tracy Jr.,NYG,RB,1.031588,62.65427693713083,-9.745723062869166,30.0,54.0,24.0,Major bargain
2024,Tucker Kraft,GB,TE,1.258621,109.6630685397054,40.513068539705394,6.0,30.0,24.0,Major bargain
2025,Drake Maye,NE,QB,8.327219,288.08507712224093,175.04507712224094,1.0,25.0,24.0,Major bargain
2024,James Cook,BUF,RB,1.590563,148.74513628490385,23.395136284903856,5.0,29.0,24.0,Major bargain
2021,Jalen Hurts,PHI,QB,1.369358,164.8742865767848,56.73428657678481,9.0,33.0,24.0,Major bargain
2023,Isaiah Likely,BAL,TE,0.996084,75.24419939463758,32.19419939463758,12.0,35.5,23.5,Major bargain
2022,Jordan Akins,HOU,TE,0.646389,70.46381015403335,21.46381015403336,10.0,33.0,23.0,Major bargain
2023,Brian Robinson,WAS,RB,1.146569,90.33828356241932,-0.7117164375806802,16.0,39.0,23.0,Major bargain
2023,Raheem Mostert,MIA,RB,2.187941,144.54934847329633,15.949348473296348,2.0,25.0,23.0,Major bargain
2021,Dawson Knox,BUF,TE,1.085545,103.04393861678057,34.24393861678055,8.0,30.0,22.0,Major bargain
