player,position,is_active,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,player_page,otc_id,gsis_id,date_of_birth,height,weight,college,draft_year,draft_round,draft_overall,draft_team,year,team,base_salary,prorated_bonus,roster_bonus,guaranteed_salary,cap_number,cap_percent,cash_paid,workout_bonus,other_bonus,per_game_roster_bonus,option_bonus,season,team_abbr
Javon Hagan,S,False,2021,2.0,1.485,0.7425,0.0,0.004,2.45086,1.22543,0.0,https://overthecap.com/player/javon-hagan/9185/,9185,00-0036046,"February 22, 1997","6'0""",215.0,Ohio,2020.0,,,Buccaneers,2021,Cardinals,0.1656,,,,0.1012,0.001,0.1012,,,,,2021,ARI
Joe Walker,LB,False,2021,1.0,0.99,0.99,0.0,0.005,1.633907,1.633907,0.0,https://overthecap.com/player/joe-walker/4964/,4964,00-0032809,"December 11, 1992","6'2""",236.0,Oregon,2016.0,7.0,251.0,Eagles,2021,Cardinals,0.252,0.0,,,0.0,0.0,0.0,,,,,2021,ARI
Jonathan Ledbetter,IDL,False,2023,1.0,0.87,0.87,0.0,0.004,1.165676,1.165676,0.0,https://overthecap.com/player/jonathan-ledbetter/8250/,8250,00-0035343,"September 12, 1997","6'4""",280.0,Georgia,2019.0,,,Dolphins,2021,Cardinals,0.1656,0.0,,0.0,0.1939,0.001,0.1939,,,,,2021,ARI
Jonathan Ward,RB,False,2022,2.0,1.905,0.9525,0.0,0.005,2.755937,1.377968,0.0,https://overthecap.com/player/jonathan-ward/9400/,9400,00-0035924,"September 30, 1997","6'0""",202.0,Central Michigan,2020.0,,,Cardinals,2021,Cardinals,0.78,,,,0.78,0.004,0.78,,,,,2021,ARI
Jordan Hicks,LB,False,2019,4.0,34.0,8.5,17.0,0.045,54.414453,13.603613,27.207226,https://overthecap.com/player/jordan-hicks/3932/,3932,00-0032129,"June 27, 1992","6'1""",238.0,Texas,2015.0,3.0,84.0,Eagles,2021,Cardinals,2.0,3.0,,2.0,5.941176,0.031,5.0,0.0,0.0,1.0,,2021,ARI
Jordan Phillips,IDL,False,2020,3.0,30.0,10.0,14.5,0.05,45.590313,15.196771,22.035318,https://overthecap.com/player/jordan-phillips/3900/,3900,00-0031557,"September 21, 1992","6'6""",334.0,Oklahoma,2015.0,2.0,52.0,Dolphins,2021,Cardinals,3.492778,3.301444,,3.492778,6.794222,0.035,10.0,0.0,,0.0,,2021,ARI
Josh Jones,LT,True,2026,1.0,4.0,4.0,3.0,0.013,4.0,4.0,3.0,https://overthecap.com/player/josh-jones/8812/,8812,00-0036363,,"6'7""",310.0,Houston,2020.0,3.0,72.0,Cardinals,2021,Cardinals,0.82997,0.269879,,0.0,1.099849,0.006,0.82997,,,0.0,,2021,ARI
Josh Mauro,IDL,False,2017,1.0,5.8,2.9,3.0,0.017,10.460838,5.230419,5.410778,https://overthecap.com/player/josh-mauro/3534/,3534,00-0030883,"February 17, 1991",,,Stanford,2014.0,,,Steelers,2021,Cardinals,0.252,0.0,0.0,0.0,0.305166,0.002,0.305166,0.0,,,,2021,ARI
Joshua Miles,RT,False,2023,1.0,1.1625,1.1625,0.3525,0.005,1.557585,1.557585,0.4723,https://overthecap.com/player/joshua-miles/8039/,8039,00-0035317,"January 4, 1996","6'6""",310.0,Morgan State,2019.0,7.0,248.0,Cardinals,2021,Cardinals,0.85,0.018644,,,0.868644,0.005,0.85,,,,,2021,ARI
Justin Murray,LT,False,2022,1.0,1.035,1.035,0.0,0.005,1.49732,1.49732,0.0,https://overthecap.com/player/justin-murray/5121/,5121,00-0032528,"April 19, 1993","6'5""",304.0,Cincinnati,2016.0,,,Broncos,2021,Cardinals,1.75,0.333333,,1.0,2.274509,0.012,1.794118,,,0.25,,2021,ARI
Justin Pugh,LG,False,2018,5.0,45.025,9.005,13.0,0.051,76.532336,15.306467,22.097065,https://overthecap.com/player/justin-pugh/2200/,2200,00-0030585,"August 15, 1990","6'5""",301.0,Syracuse,2013.0,1.0,19.0,Giants,2021,Cardinals,4.0,2.0,0.0,4.0,6.882353,0.036,5.0,,,1.0,,2021,ARI
