match_tier,matched_candidates,avg_matched_controls,avg_match_distance,median_match_distance,primary_v5_candidate_rate,primary_v5_matched_control_rate,primary_v5_lift,primary_v5_lift_pp
tier_1_same_season_position_draft_bucket_contract_stage,228,2.526315789473684,0.7364457554824555,0.6983216294245697,0.5482456140350878,0.4137426900584795,0.13450292397660824,13.450292397660824
tier_2_same_season_position_draft_bucket,1,3.0,1.049780053504987,1.049780053504987,1.0,0.6666666666666666,0.33333333333333337,33.333333333333336
tier_3_same_season_position_contract_stage,23,3.0,0.5377512979115031,0.42760966041225656,0.6956521739130435,0.4782608695652174,0.21739130434782605,21.739130434782606
