season,is_v5_default_candidate,rows,appeared_next_year_rate,primary_v5_hit_rate,secondary_v5_hit_rate,retained_positive_surplus_rate,improved_production_score_rate,improved_production_percentile_rate,next_year_top_half_position_rate,next_year_meaningful_regular_role_rate
2021,0,174,0.603448275862069,0.3103448275862069,0.2471264367816092,0.2471264367816092,0.28160919540229884,0.28160919540229884,0.3103448275862069,0.5862068965517241
2021,1,68,0.7941176470588235,0.5735294117647058,0.47058823529411764,0.47058823529411764,0.3235294117647059,0.3382352941176471,0.5735294117647058,0.7941176470588235
2022,0,173,0.6184971098265896,0.3352601156069364,0.1907514450867052,0.1907514450867052,0.28901734104046245,0.2947976878612717,0.3352601156069364,0.6011560693641619
2022,1,58,0.8793103448275862,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.3620689655172414,0.3275862068965517,0.5862068965517241,0.8793103448275862
2023,0,172,0.622093023255814,0.37209302325581395,0.22093023255813954,0.22093023255813954,0.313953488372093,0.27906976744186046,0.37209302325581395,0.6046511627906976
2023,1,59,0.9322033898305084,0.576271186440678,0.6440677966101694,0.6440677966101694,0.3728813559322034,0.3050847457627119,0.576271186440678,0.8813559322033898
2024,0,166,0.6626506024096386,0.3674698795180723,0.25301204819277107,0.25301204819277107,0.3493975903614458,0.3674698795180723,0.3674698795180723,0.6566265060240963
2024,1,67,0.8208955223880597,0.5223880597014925,0.5671641791044776,0.5671641791044776,0.2835820895522388,0.3283582089552239,0.5223880597014925,0.7611940298507462
