season,group_model,players_model,appeared_next_year_model,hits_model,avg_surplus_gap_model,avg_next_surplus_gap_model,avg_production_score_model,avg_next_production_score_model,appearance_rate_model,hit_rate_model,group_baseline,players_baseline,appeared_next_year_baseline,hits_baseline,avg_surplus_gap_baseline,avg_next_surplus_gap_baseline,avg_production_score_baseline,avg_next_production_score_baseline,appearance_rate_baseline,hit_rate_baseline,hit_rate_lift,appearance_rate_lift,next_surplus_gap_lift,next_production_score_lift
2021,model_candidates,68,54,35,24.08823529411765,8.722222222222221,111.94127315324091,105.37661487681662,0.7941176470588235,0.5147058823529411,not_flagged_baseline,52,34,26,-14.365384615384617,-1.588235294117647,40.708327733436334,75.67368012521595,0.6538461538461539,0.5,0.0147058823529411,0.1402714932126696,10.310457516339868,29.702934751600665
2022,model_candidates,58,51,34,22.70689655172414,7.490196078431373,107.0431846394408,98.07016064576054,0.8793103448275862,0.5862068965517241,not_flagged_baseline,50,28,17,-9.04,-6.071428571428571,47.812502051019855,70.6459898170041,0.56,0.34,0.246206896551724,0.3193103448275861,13.561624649859944,27.424170828756445
2023,model_candidates,59,55,39,26.440677966101696,8.745454545454546,106.41889118519764,94.84621057003312,0.9322033898305084,0.6610169491525424,not_flagged_baseline,56,35,27,-11.053571428571429,-4.257142857142857,35.334299110279254,91.8261765004428,0.625,0.4821428571428571,0.1788740920096852,0.3072033898305084,13.002597402597402,3.0200340695903094
2024,model_candidates,67,55,38,23.91044776119403,8.654545454545454,112.10270879656916,99.47305101217248,0.8208955223880597,0.5671641791044776,not_flagged_baseline,50,38,29,-10.4,2.8421052631578947,54.191517189132846,90.4094108623447,0.76,0.58,-0.0128358208955223,0.0608955223880597,5.81244019138756,9.063640149827776
