threshold,group_model,position_final,players_model,appeared_next_year_model,hits_model,avg_surplus_gap_model,avg_next_surplus_gap_model,avg_production_score_model,avg_next_production_score_model,appearance_rate_model,hit_rate_model,group_baseline,players_baseline,appeared_next_year_baseline,hits_baseline,avg_surplus_gap_baseline,avg_next_surplus_gap_baseline,avg_production_score_baseline,avg_next_production_score_baseline,appearance_rate_baseline,hit_rate_baseline,hit_rate_lift,appearance_rate_lift,next_surplus_gap_lift,next_production_score_lift
0,model_candidates,ALL,304,252,168,20.48355263157895,7.027777777777778,100.2317258341096,95.62370202906584,0.8289473684210527,0.5526315789473685,not_flagged_baseline,156,98,77,-15.692307692307692,-2.306122448979592,40.61165034331658,86.55886225914958,0.6282051282051282,0.4935897435897436,0.0590418353576248,0.2007422402159244,9.33390022675737,9.064839769916247
3,model_candidates,ALL,274,233,155,22.613138686131386,7.510729613733906,106.9065841124538,98.35975960458792,0.8503649635036497,0.5656934306569343,not_flagged_baseline,186,117,90,-12.994623655913978,-1.752136752136752,40.39493580814173,82.58220021241253,0.6290322580645161,0.4838709677419355,0.0818224629149988,0.2213327054391335,9.262866365870655,15.777559392175377
5,model_candidates,ALL,252,215,146,24.27380952380953,8.418604651162791,109.5639180666855,99.43941759675904,0.8531746031746031,0.5793650793650794,not_flagged_baseline,208,135,99,-11.240384615384617,-1.962962962962963,44.21035939577867,82.96641947717076,0.6490384615384616,0.4759615384615384,0.1034035409035409,0.2041361416361415,10.381567614125755,16.47299811958827
10,model_candidates,ALL,214,183,124,27.350467289719628,8.885245901639344,115.4846697631916,101.3824005880432,0.8551401869158879,0.5794392523364486,not_flagged_baseline,246,167,121,-8.43089430894309,-0.4850299401197604,49.1550519422915,83.99378506053496,0.6788617886178862,0.491869918699187,0.0875693336372615,0.1762783982980017,9.370275841759105,17.388615527508236
15,model_candidates,ALL,171,148,104,31.228070175438596,11.236486486486486,117.20192674197196,102.6393570889958,0.8654970760233918,0.6081871345029239,not_flagged_baseline,289,202,141,-5.401384083044983,-0.5841584158415841,58.0080713987872,86.08572556212808,0.698961937716263,0.4878892733564013,0.1202978611465225,0.1665351383071287,11.82064490232807,16.55363152686772
20,model_candidates,ALL,130,111,81,35.707692307692305,13.252252252252251,120.3916217487442,105.2876372027669,0.8538461538461538,0.6230769230769231,not_flagged_baseline,330,239,164,-2.6151515151515152,0.309623430962343,64.10591296906048,87.41846729378294,0.7242424242424242,0.4969696969696969,0.1261072261072261,0.1296037296037295,12.942628821289908,17.869169908983963
