season,player_name,team,position_final,production_score,total_epa,cap_number,cost_tier,player_surplus_gap,surplus_bucket,draft_year,draft_round,draft_pick,draft_capital_bucket,years_since_drafted,estimated_contract_stage,is_likely_rookie_contract,surplus_context,overall_confidence
2025,Jaxson Dart,NYG,QB,126.86347932671816,41.54347932671816,3.086898,Low cost,18.0,strong_surplus,2025.0,1.0,25.0,round_1,0.0,rookie_contract,True,rookie_contract_surplus,high
2025,Romeo Doubs,GB,WR,102.59547256009007,34.645472560090084,3.576979,Low cost,18.0,strong_surplus,2022.0,4.0,132.0,rounds_4_5,3.0,rookie_contract,True,rookie_contract_surplus,high
2025,Tucker Kraft,GB,TE,89.04276139789144,38.442761397891445,1.510345,Low cost,18.0,strong_surplus,2023.0,3.0,78.0,round_3,2.0,rookie_contract,True,rookie_contract_surplus,high
2025,Xavier Hutchinson,HOU,WR,54.934920907799494,14.68492090779949,1.070925,Low cost,18.0,strong_surplus,2023.0,6.0,205.0,rounds_6_7,2.0,rookie_contract,True,rookie_contract_surplus,high
2025,Kimani Vidal,LAC,RB,41.599666600415354,-13.350333399584644,0.693333,Low cost,18.0,strong_surplus,2024.0,6.0,181.0,rounds_6_7,1.0,rookie_contract,True,rookie_contract_surplus,high
2025,Chris Rodriguez Jr.,WAS,RB,48.14746537129395,2.897465371293947,1.03,Low cost,17.5,strong_surplus,2023.0,6.0,193.0,rounds_6_7,2.0,rookie_contract,True,rookie_contract_surplus,high
2025,Jameson Williams,DET,WR,148.44272256089278,54.74272256089279,7.42181,Mid cost,17.0,strong_surplus,2022.0,1.0,12.0,round_1,3.0,rookie_contract,True,rookie_contract_surplus,high
2025,Colston Loveland,CHI,TE,114.68358338262718,46.63358338262719,4.84291,Mid cost,17.0,strong_surplus,2025.0,1.0,10.0,round_1,0.0,rookie_contract,True,rookie_contract_surplus,high
2025,TreVeyon Henderson,NE,RB,106.4633030216752,11.113303021675186,2.026047,Low cost,17.0,strong_surplus,2025.0,2.0,38.0,round_2,0.0,rookie_contract,True,rookie_contract_surplus,high
2025,Ladd McConkey,LAC,WR,81.18522750449289,7.235227504492887,2.271633,Low cost,17.0,strong_surplus,2024.0,2.0,34.0,round_2,1.0,rookie_contract,True,rookie_contract_surplus,high
