season,team,player_id,player_name,position,position_group,passing_yards,passing_tds,passing_interceptions,sacks_suffered,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,targets,passing_epa,rushing_epa,receiving_epa,total_epa,production_score,contract_player_name,contract_position,cap_number,cash_paid,base_salary,guaranteed_salary,has_contract_match,has_missing_contract,position_final,meets_sample_threshold,sample_confidence,contract_confidence,overall_confidence,production_rank_position,cost_rank_position,player_surplus_gap,player_surplus_rank,player_value_tier,draft_year,draft_team,draft_round,draft_pick,years_since_drafted,draft_capital_bucket,estimated_contract_stage,is_likely_rookie_contract,surplus_context
2025,NE,00-0038621,DeMario Douglas,WR,WR,0,0,0,0,21,0,31,447,3,46,0.0,-0.9672429888742043,28.142252345996887,27.175009357122683,67.3250093571227,Demario Douglas,WR,1.063333,1.03,1.03,,True,False,WR,True,normal_sample,contract_matched,high,50.0,80.0,30.0,11.0,Major bargain,2023,NWE,6,210,2,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,CHI,00-0040236,Kyle Monangai,RB,RB,0,0,0,0,783,5,18,164,0,30,0.0,3.671481235593325,-7.266987946189103,-3.595506710595779,63.25449328940423,Kyle Monangai,RB,0.872035,0.96814,0.84,,True,False,RB,True,normal_sample,contract_matched,high,29.0,59.0,30.0,4.0,Major bargain,2025,CHI,7,233,0,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,NYG,00-0038117,Wan'Dale Robinson,WR,WR,0,0,0,0,5,0,92,1014,4,140,0.0,1.9220478277420625,19.46254311013073,21.38459093787279,107.3345909378728,Wan'Dale Robinson,WR,2.604371,1.821159,1.771159,0.0,True,False,WR,True,normal_sample,contract_matched,high,23.0,52.0,29.0,12.0,Major bargain,2022,NYG,2,43,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,DEN,00-0039868,Troy Franklin,WR,WR,0,0,0,0,12,0,65,709,6,104,0.0,-1.7212982622440904,9.788528783931133,8.067230521687042,78.36723052168705,Troy Franklin,WR,1.188709,0.975,0.975,,True,False,WR,True,normal_sample,contract_matched,high,43.0,71.0,28.0,13.5,Major bargain,2024,DEN,4,102,1,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,KC,00-0038104,Tyquan Thornton,WR,WR,0,0,0,0,0,0,19,438,3,37,0.0,0.0,26.24813281281208,26.24813281281208,61.89813281281208,Tyquan Thornton,WR,1.040556,1.040556,1.1,0.0,True,False,WR,True,normal_sample,contract_matched,high,53.0,81.0,28.0,13.5,Major bargain,2022,NWE,2,50,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,SEA,00-0039793,AJ Barner,TE,TE,0,0,0,0,14,1,52,519,6,68,0.0,7.232803527265787,27.943031145209513,35.175834672475304,95.82583467247532,A.J. Barner,TE,1.148777,0.96,0.96,,True,False,TE,True,normal_sample,contract_matched,high,10.0,36.0,26.0,1.0,Major bargain,2024,SEA,4,121,1,rounds_4_5,rookie_contract,True,rookie_contract_surplus
2025,IND,00-0037664,Alec Pierce,WR,WR,0,0,0,0,0,0,47,1003,6,84,0.0,0.0,55.77911305843583,55.77911305843583,135.67911305843583,Alec Pierce,WR,4.151244,3.656,3.656,0.0,True,False,WR,True,normal_sample,contract_matched,high,12.0,37.0,25.0,16.0,Major bargain,2022,IND,2,53,3,round_2,rookie_contract,True,rookie_contract_surplus
2025,KC,00-0039067,Rashee Rice,WR,WR,0,0,0,0,20,1,53,571,5,78,0.0,1.8625007853843272,16.019448061033202,17.88194884641753,78.68194884641753,Rashee Rice,WR,1.324598,0.893649,1.340474,0.0,True,False,WR,True,normal_sample,contract_matched,high,42.0,67.0,25.0,16.0,Major bargain,2023,KAN,2,55,2,round_2,rookie_contract,True,rookie_contract_surplus
2025,TB,00-0040237,Tez Johnson,WR,WR,0,0,0,0,22,0,28,322,5,44,0.0,-1.2532766102231108,16.342394185250168,15.089117575027055,54.28911757502706,Tez Johnson,WR,0.870985,0.96394,0.84,,True,False,WR,True,normal_sample,contract_matched,high,61.0,86.0,25.0,16.0,Major bargain,2025,TAM,7,235,0,rounds_6_7,rookie_contract,True,rookie_contract_surplus
2025,NE,00-0039851,Drake Maye,QB,QB,4394,31,8,47,450,4,1,2,0,1,165.16154195610798,11.21286736717611,-1.329332201043144,175.04507712224094,288.08507712224093,Drake Maye,QB,8.327219,2.460444,0.96,2.460444,True,False,QB,True,normal_sample,contract_matched,high,1.0,25.0,24.0,1.0,Major bargain,2024,NWE,1,3,1,round_1,rookie_contract,True,rookie_contract_surplus
