position_final,cost_tier,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
WR,Low cost,289,12.193771626297577,12.0,0.671280276816609,0.5294117647058824,1.7893884740484431,73.33221398023909,18.514428513111067,0.71280276816609
QB,Low cost,53,7.509433962264151,5.0,0.7735849056603774,0.32075471698113206,1.9817044150943395,38.48442874774403,-2.0648165352748333,0.5471698113207547
TE,Low cost,99,6.737373737373737,7.0,0.6868686868686869,0.4444444444444444,1.9761377373737372,64.49116065050166,16.223483882824887,0.7070707070707071
RB,No/missing cost,1,5.0,5.0,1.0,0.0,0.0,27.113568594444978,-2.686431405555023,0.0
RB,Low cost,234,4.02991452991453,4.0,0.5897435897435898,0.3888888888888889,1.6182500854700854,61.8711510953831,-6.04017369094169,0.6025641025641025
QB,Mid cost,58,2.3275862068965516,4.0,0.5344827586206896,0.3275862068965517,7.018116017241379,80.16314395571241,19.331247403988268,0.7241379310344828
QB,High cost,32,-3.34375,-3.0,0.40625,0.125,14.7806088125,106.63781700984472,38.292817009844725,0.375
TE,Mid cost,60,-7.1,-7.0,0.25,0.08333333333333333,6.525244900000001,72.80651995900898,16.325186625675652,0.2
QB,Premium cost,50,-8.88,-7.5,0.24,0.0,31.6545519,132.6105364530275,56.804936453027494,0.06
TE,High cost,23,-11.043478260869565,-13.5,0.17391304347826086,0.0,13.706880695652174,82.670026125773,23.774373951859953,0.08695652173913043
RB,Mid cost,54,-12.518518518518519,-9.0,0.2222222222222222,0.05555555555555555,6.258957,93.82566141861898,-7.201745988788441,0.2777777777777778
WR,Mid cost,123,-13.130081300813009,-9.0,0.42276422764227645,0.25203252032520324,6.237330715447155,100.52591409456424,26.866645801881315,0.3983739837398374
RB,High cost,15,-21.066666666666666,-16.0,0.0,0.0,12.578387733333333,84.39249225170538,-17.910174414961286,0.13333333333333333
WR,Premium cost,16,-26.125,-19.5,0.0625,0.0,24.56489925,118.94001119076285,34.35438619076284,0.0625
WR,High cost,58,-28.43103448275862,-24.0,0.1206896551724138,0.017241379310344827,13.781610948275862,104.47758177957506,26.512754193368174,0.05172413793103448
