position_final,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
TE,182,-0.07142857142857142,0.0,0.47802197802197804,0.2692307692307692,4.958299923076923,69.52981704853286,17.21124561996144,0.46153846153846156
QB,193,-0.09326424870466321,1.0,0.5025906735751295,0.20725388601036268,13.304601761658033,86.69468414522363,26.307741140042275,0.44559585492227977
RB,304,-0.14473684210526316,0.0,0.4967105263157895,0.3092105263157895,2.9780592565789474,68.54419745162859,-6.821164390476663,0.5197368421052632
WR,486,-0.32510288065843623,2.0,0.522633744855967,0.38065843621399176,5.096083888888889,85.43299834606597,22.104274066230577,0.5329218106995884
