surplus_context,players_evaluated,avg_surplus_gap,median_surplus_gap,pct_positive_surplus,pct_strong_surplus,avg_cap_number,avg_production_score,avg_total_epa,rookie_contract_rate
rookie_contract_surplus,276,26.221014492753625,22.0,1.0,1.0,2.492334554347826,113.89959011287489,31.21187272157054,1.0
veteran_positive_value,92,21.54891304347826,18.0,1.0,1.0,2.455838347826087,97.99796677087959,27.378184162183924,0.0
pre_extension_breakout,50,7.09,7.0,1.0,0.0,3.4442616,80.24250103809905,15.594101038099042,1.0
positive_value,171,4.1608187134502925,4.0,1.0,0.0,6.119149380116959,89.26177107180723,22.98896405426337,0.3157894736842105
market_rate,19,0.0,0.0,0.0,0.0,4.484939947368421,67.5016631109156,0.22850521617876254,0.47368421052631576
negative_value,217,-4.868663594470046,-5.0,0.0,0.0,7.725951566820277,70.71883702652276,9.93994301730617,0.4147465437788018
expensive_negative_value,340,-27.82941176470588,-23.0,0.0,0.0,8.700209035294119,45.25843238595024,-3.3132734964026995,0.3176470588235294
