season,position_final,draft_capital_bucket,players,avg_surplus_gap,avg_cap_number,avg_production_score
2021,QB,rounds_6_7,2,10.5,5.697794,141.67723572374607
2021,QB,undrafted_or_unmatched,2,7.5,1.3900000000000001,18.735438807413253
2021,QB,round_1,23,-0.21739130434782608,10.599610608695652,100.44252641138605
2021,QB,round_2,4,-0.375,13.8360895,99.0426959058878
2021,QB,rounds_4_5,2,-3.5,24.183332999999998,173.27047118537948
2021,QB,round_3,3,-7.5,12.649824333333333,22.699588185686224
2021,RB,undrafted_or_unmatched,7,13.142857142857142,1.856223142857143,79.88003854367618
2021,RB,rounds_6_7,8,3.625,1.00258,45.087500149179235
2021,RB,rounds_4_5,16,2.6875,1.3968585625,51.84506548321058
2021,RB,round_2,11,0.09090909090909091,3.8752734545454546,89.01443030713608
2021,RB,round_3,15,-1.9666666666666666,1.9388640666666668,58.36788976598567
2021,RB,round_1,11,-12.318181818181818,4.749149909090909,76.06545833868687
2021,TE,round_2,8,5.9375,3.512526625,82.05104190920915
2021,TE,rounds_4_5,8,5.75,3.08567,69.89312590338841
2021,TE,round_3,7,-2.2857142857142856,4.465449571428572,84.20159946049257
2021,TE,undrafted_or_unmatched,6,-5.083333333333333,2.6101111666666665,33.501818563248065
2021,TE,round_1,5,-6.8,5.4048698,66.3027564446194
2021,TE,rounds_6_7,2,-10.5,4.555294,46.9859129253619
2021,WR,rounds_6_7,7,19.714285714285715,1.2452097142857144,64.23168572961495
2021,WR,rounds_4_5,14,8.0,3.1376578571428575,84.85174477880558
2021,WR,undrafted_or_unmatched,19,3.0526315789473686,2.642944789473684,68.04683095584043
2021,WR,round_3,15,-0.6,4.3555513999999995,92.93716596412945
2021,WR,round_2,21,-2.857142857142857,4.710310571428572,94.70696947960919
2021,WR,round_1,26,-13.192307692307692,5.917845923076923,93.14310709262678
2022,QB,round_2,5,11.6,8.3018812,127.10885896168818
2022,QB,rounds_6_7,2,11.5,6.310126500000001,85.07002567841143
2022,QB,undrafted_or_unmatched,2,3.0,2.235139,8.453383850683197
2022,QB,round_1,24,-2.5416666666666665,14.447615541666666,88.75523206052146
2022,QB,round_3,3,-4.0,7.6122803333333335,22.699740107596778
2022,QB,rounds_4_5,3,-5.0,17.895556000000003,67.36686750076466
2022,RB,rounds_4_5,9,10.0,1.9982443333333333,76.48948823670395
2022,RB,rounds_6_7,4,3.25,1.1630645,41.39726267833633
2022,RB,round_2,14,-0.5357142857142857,3.867256571428572,77.37263033705003
2022,RB,round_1,10,-3.7,5.087263399999999,84.22774887525092
2022,RB,undrafted_or_unmatched,9,-4.222222222222222,2.0628408888888887,48.402862518746275
2022,RB,round_3,13,-4.961538461538462,2.396186230769231,54.28820245070456
2022,TE,undrafted_or_unmatched,2,7.5,2.0725,59.642098455143355
2022,TE,round_3,7,7.285714285714286,3.694962857142857,83.57898298291323
2022,TE,round_1,6,3.0,4.333790166666666,66.97400569819457
2022,TE,round_2,7,-3.0714285714285716,5.977063142857142,64.38650792595146
2022,TE,rounds_4_5,11,-3.8636363636363638,3.6308803636363636,49.582450980994736
2022,TE,rounds_6_7,1,-25.0,11.415,40.299365661119104
2022,WR,rounds_4_5,16,12.0,3.075378625,88.13322605925912
2022,WR,rounds_6_7,10,9.0,1.3586095,45.24535296702015
2022,WR,undrafted_or_unmatched,11,3.0,3.198351090909091,66.55548204082596
2022,WR,round_2,26,-3.4423076923076925,4.472265538461539,85.01638868407716
2022,WR,round_3,11,-5.863636363636363,6.936391727272727,86.79488600867234
2022,WR,round_1,25,-7.12,6.10201232,98.28238669076096
2023,QB,rounds_6_7,3,12.0,3.7630843333333335,103.04295317308076
2023,QB,undrafted_or_unmatched,3,9.0,0.963889,20.66285782592925
2023,QB,round_2,5,0.8,6.4382448,71.43988904779408
2023,QB,rounds_4_5,6,0.0,8.503815333333334,38.902434786843955
2023,QB,round_1,21,-3.3333333333333335,13.864839952380951,73.38205930275043
2023,QB,round_3,2,-4.0,11.6094275,40.4532790266533
2023,RB,rounds_6_7,3,13.833333333333334,0.9849843333333334,56.07487202392258
2023,RB,undrafted_or_unmatched,7,11.428571428571429,2.289086857142857,68.35317086147604
2023,RB,round_3,15,4.233333333333333,2.6101280000000004,67.88454167297431
2023,RB,rounds_4_5,16,-1.875,2.252866125,41.87577864658441
2023,RB,round_2,11,-4.0,4.087030272727273,72.03729365038281
2023,RB,round_1,8,-13.875,5.3273865,81.40497441554147
2023,TE,rounds_4_5,12,3.0833333333333335,3.586512583333333,66.68169618512913
2023,TE,round_1,6,0.0,5.652645,78.40449421090352
2023,TE,undrafted_or_unmatched,4,-0.5,2.6528055,52.12758437673709
2023,TE,round_3,4,-1.0,8.866613000000001,82.77642832944889
2023,TE,rounds_6_7,1,-2.0,4.72375,58.89066188738817
2023,TE,round_2,10,-2.9,4.9903675,65.74873369856995
2023,WR,rounds_4_5,15,14.7,4.1902414666666665,101.46643892681281
2023,WR,rounds_6_7,3,8.333333333333334,1.4691896666666666,43.67273494270316
2023,WR,round_3,14,2.9285714285714284,6.5567325,88.03067120859815
2023,WR,undrafted_or_unmatched,9,1.1666666666666667,2.7398203333333333,64.534605526786
2023,WR,round_1,27,-2.3703703703703702,6.905269074074074,107.36099681961352
2023,WR,round_2,26,-8.961538461538462,6.074963153846154,78.20946766992823
2024,QB,round_3,2,8.5,2.04,33.88507143654169
2024,QB,rounds_6_7,2,5.5,4.5021265,67.62591845192377
2024,QB,round_1,26,0.6153846153846154,16.744106346153846,124.62912118609776
2024,QB,round_2,5,-2.4,11.959094599999998,61.903957375656944
2024,QB,undrafted_or_unmatched,1,-5.0,2.875,-10.941080926442304
2024,QB,rounds_4_5,4,-8.25,17.8551945,7.284225878628742
2024,RB,rounds_4_5,16,6.59375,1.8966635,70.64251666087414
2024,RB,undrafted_or_unmatched,8,3.0,1.432479125,50.39385734107489
2024,RB,round_3,12,-1.75,4.06464875,73.11938175311381
2024,RB,round_1,6,-2.0833333333333335,4.416214,140.60531180089583
2024,RB,round_2,12,-7.0,3.9620320833333333,82.85040885445282
2024,RB,rounds_6_7,1,-12.0,1.004777,9.92959319434313
2024,TE,round_2,9,6.555555555555555,4.507540777777778,90.43680158208346
2024,TE,round_3,6,5.166666666666667,7.544695999999999,98.38495853306956
2024,TE,undrafted_or_unmatched,1,0.0,3.5,65.77057071342156
2024,TE,rounds_4_5,13,-0.23076923076923078,3.4806827692307696,59.44264863360075
2024,TE,round_1,7,-12.428571428571429,6.855322714285714,59.53202312654765
2024,WR,rounds_6_7,10,24.5,1.2602819,70.06963478532536
2024,WR,undrafted_or_unmatched,11,3.9545454545454546,3.5988383636363634,64.68916412215385
2024,WR,round_1,28,1.2678571428571428,5.552094964285715,115.17972983369971
2024,WR,rounds_4_5,15,0.03333333333333333,5.1263738666666665,81.4744545000108
2024,WR,round_3,15,-6.866666666666666,9.577881666666666,81.50704375079971
2024,WR,round_2,23,-10.282608695652174,6.234681999999999,76.79624268653887
2025,QB,rounds_6_7,1,8.0,9.119253,134.59202882330524
2025,QB,round_3,1,5.0,5.31,68.55736454107851
2025,QB,round_1,29,1.103448275862069,17.973070655172414,109.02619468993063
2025,QB,rounds_4_5,4,-6.125,23.128598750000002,48.141194027409355
2025,QB,round_2,3,-6.833333333333333,21.27809866666667,51.70458029213109
2025,RB,rounds_6_7,6,13.916666666666666,0.9091451666666667,42.17042770526463
2025,RB,round_2,13,2.3076923076923075,4.514099153846154,99.67627555090199
2025,RB,undrafted_or_unmatched,7,1.9285714285714286,1.7508572857142857,52.87016439545117
2025,RB,rounds_4_5,18,-0.2222222222222222,2.568968388888889,54.25906185683007
2025,RB,round_1,8,-5.625,6.68678175,118.50165673785168
2025,RB,round_3,10,-7.8,3.7136495,59.49572680270169
